v1 f22 fo4
v2 f21 f1
v3 f20 fo8
v4 f1 fo2
v5 fo5 fo3
v6 f5 fo5
v7 fo9 fo8
v8 f5 fo3
v9 f24 fo1
v10 fo9 f17
v11 f18 fo8
v12 f24 fo1
v13 f19 fo2
v14 f13 f22
v15 fo8 f26
v16 fo6 fo7
v17 f12 fo1
v18 f26 f21
v19 f9 f18
v20 f21 f1
v21 f14 f12
v22 fo1 fo2
v23 f15 f6
v24 f17 f20
v25 f14 f8
v26 fo1 f16
v27 fo1 f16
v28 f24 fo1
v29 f4 f20
v30 fo4 fo2
v31 fo7 f23
v32 f6 f12
v33 f15 f6
v34 f13 f22
v35 fo6 f10
v36 f24 fo1
v37 fo4 f12
v38 f4 fo1
v39 fo9 f22
v40 f4 f20
v41 fo4 f13
v42 f1 f12
v43 f6 f17
v44 fo9 f22
v45 fo6 fo8
v46 fo5 f4
v47 fo8 f26
v48 f15 f19
co1 f14 f16
co2 f10 f23
co3 f25 f2
co4 f23 fo3
co5 f6 f12
co6 f17 f20
co7 f21 fo1
co8 f16 fo2
co9 f23 fo3
co10 fo5 fo6
co11 f18 fo8
co12 f18 f22
co13 f17 f20
co14 fo6 f10
co15 f10 f23
co16 fo9 fo7
co17 fo9 fo8
co18 fo6 fo8
co19 fo2 f9
co20 f5 fo3
co21 f1 fo2
co22 fo4 fo2
co23 f8 fo7
co24 f10 f23
co25 fo5 fo7
co26 fo4 f13
co27 f14 f16
co28 f14 f12
co29 f21 fo1
co30 f10 fo9
co31 f1 fo2
co32 f21 fo1
