v1 f2 f57
v2 f34 fo2
v3 f21 fo2
v4 fo1 fo4
v5 f20 f18
v6 f20 f18
v7 fo3 fo2
co1 f27 fo3
co2 f49 f23
co3 f16 fo2
co4 fo5 f34
co5 f51 f33
co6 f31 fo4
co7 f45 fo5
co8 f57 f44
co9 f17 f4
co10 f49 f23
co11 f34 f25
co12 f36 f22
co13 f38 fo2
co14 f9 fo3
co15 fo3 fo2
co16 f66 f34
co17 f59 f33
co18 f3 f25
co19 f39 f62
co20 fo1 fo4
co21 f16 fo2
co22 f42 fo5
co23 f17 f4
co24 f63 fo3
co25 f37 fo3
co26 f6 f27
co27 f35 f50
co28 f12 fo3
co29 f35 f50
co30 fo3 fo2
co31 f27 fo3
co32 f11 f1
co33 f3 f25
co34 f5 f26
co35 f47 f19
co36 f8 fo3
co37 f35 f50
co38 f34 f25
co39 f7 fo2
co40 f43 f47
co41 f15 fo4
co42 f51 f33
co43 f38 fo2
co44 f39 f62
co45 f64 fo4
co46 f34 fo2
co47 f39 f62
co48 f9 fo3
co49 f49 f23
co50 f65 fo1
co51 f34 fo2
co52 f54 fo4
co53 f64 fo4
co54 f61 fo4
co55 f45 fo5
co56 f43 f47
co57 f41 f63
co58 f1 fo3
co59 f44 f55
co60 f55 fo2
co61 f26 f15
co62 f27 fo3
co63 f36 f22
co64 f68 fo5
co65 f48 f46
