v1 f47 f58
v2 f6 f33
v3 f23 f21
v4 fo2 f17
v5 f21 f25
v6 f41 fo4
v7 f46 fo2
co1 f8 f24
co2 f48 f28
co3 f8 f24
co4 f66 f33
co5 f27 f39
co6 f40 fo2
co7 f24 f11
co8 fo2 f17
co9 f42 fo3
co10 f56 fo2
co11 f3 f27
co12 f24 f11
co13 f61 f9
co14 f32 fo4
co15 f4 fo4
co16 f59 f1
co17 fo5 fo4
co18 f61 f9
co19 f41 fo4
co20 f8 f24
co21 f18 f6
co22 f54 fo1
co23 f65 f15
co24 f4 fo4
co25 f13 f60
co26 f9 f24
co27 f62 f1
co28 f17 f49
co29 fo1 f20
co30 f49 fo4
co31 f68 fo3
co32 f24 f11
co33 f19 f28
co34 fo4 fo2
co35 f54 fo1
co36 f12 fo1
co37 f26 f45
co38 f12 fo5
co39 f5 f53
co40 f42 fo3
co41 f36 fo1
co42 f51 fo1
co43 f51 fo1
co44 f32 fo4
co45 f57 f66
co46 f31 fo2
co47 f7 f60
co48 f23 f21
co49 f17 f49
co50 fo3 fo5
co51 f11 f15
co52 f6 f33
co53 f37 fo2
co54 f46 fo2
co55 f29 fo3
co56 f44 fo3
co57 f24 f11
co58 f11 f15
co59 f54 fo1
co60 f57 f66
co61 f16 fo3
co62 f7 f60
co63 f11 f15
co64 f54 fo1
co65 f68 fo3
