v1 fo66 fo34
v2 f19 f3
v3 f8 f11
v4 f12 f15
v5 f5 fo58
v6 fo43 f19
v7 f5 fo58
v8 fo27 fo52
v9 fo24 f7
v10 fo53 f14
v11 fo2 fo5
v12 f8 fo53
v13 f25 fo13
v14 f6 f27
v15 fo30 f4
v16 fo47 fo8
v17 fo24 f7
v18 fo3 f10
v19 fo62 fo20
v20 fo46 fo22
v21 fo63 fo41
v22 fo64 fo29
v23 fo52 fo63
v24 fo46 fo22
v25 fo15 f8
v26 fo39 f14
v27 fo65 fo32
v28 f10 fo30
v29 f1 f12
v30 fo10 f15
v31 fo2 fo5
v32 fo30 f4
v33 fo27 fo52
v34 fo49 f16
co1 f21 f7
co2 fo56 f24
co3 fo35 fo21
co4 fo61 fo41
co5 fo16 fo65
co6 fo11 f17
co7 f27 fo65
co8 fo63 fo41
co9 fo37 f21
co10 fo48 f22
co11 fo24 f7
co12 fo50 f20
co13 fo57 fo29
co14 f14 fo4
co15 fo41 f27
co16 fo31 f13
co17 f23 f20
co18 f13 f6
co19 f4 fo63
co20 fo54 f23
co21 fo53 f14
co22 fo38 f9
co23 fo63 fo41
co24 fo31 f13
co25 f1 f12
co26 fo55 f21
co27 fo61 fo41
co28 fo47 fo8
co29 fo7 f20
co30 fo20 f13
co31 fo25 f21
co32 f26 fo3
co33 fo13 f5
co34 fo4 fo48
co35 f21 f7
co36 fo2 fo5
co37 fo27 fo52
co38 fo28 f19
co39 fo3 f10
co40 fo31 f13
co41 fo62 fo20
co42 fo23 fo15
co43 fo26 f15
co44 f15 fo61
co45 fo7 f20
co46 fo38 f9
co47 fo61 fo41
co48 f14 fo4
co49 fo6 fo17
co50 f22 fo1
co51 fo20 f13
co52 fo65 fo32
co53 fo65 fo32
co54 fo9 f24
co55 f8 f11
co56 f14 fo4
co57 f12 fo61
co58 fo30 f4
co59 fo65 fo32
co60 fo7 f20
