,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,VeSpA 2 estimate,VeSpA 20 estimate,VeSpA 200 estimate,Netx Shortest Path (Dijkstra) success,A* success,VeSpA 2 success,VeSpA 20 success,VeSpA 200 success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,VeSpA 2 control list,VeSpA 20 control list,VeSpA 200 control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,VeSpA 2 path,VeSpA 20 path,VeSpA 200 path,Netx Shortest Path (Dijkstra) path length,A* path length,VeSpA 2 path length,VeSpA 20 path length,VeSpA 200 path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,VeSpA 2 runtime,VeSpA 20 runtime,VeSpA 200 runtime
lrb3|benchmark1_1,"['f1', 'f5']",1,1,0,0,0,0,0,23,23,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6'], [1, 'v18'], [2, 'v19', 'v20'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14'], [1, 'v17'], [1, 'v10'], [2, 'v19', 'v10']]","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']",[],[],[],"[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v8', 'c2', 'v4'], ['v18', 'c5', 'v20'], ['v19', 'c6', 'v23'], ['v14', 'c9', 'v16'], ['v17', 'c10', 'v13'], ['v10', 'c3', 'v12']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']]",[],[],[],10,10,-1,-1,-1,2.50339508056641E-05,0.000104904174805,0.001245498657227,0.007258415222168,0.008251905441284
lrb3|benchmark2_1,"['f2', 'f5']",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v14'], [1, 'v7'], [2, 'v2', 'v4'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14'], [1, 'v17'], [1, 'v10'], [2, 'v19', 'v10']]","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']",[],"['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v7', 'c7', 'v5'], ['v14', 'c9', 'v16'], ['v4', 'c2', 'v8'], ['v17', 'c10', 'v13'], ['v10', 'c3', 'v12'], ['v19', 'c6', 'v23']]","[['f2', 'fo2', 'fo3', 'fo8', 'f5']]","[['f2', 'fo2', 'fo3', 'fo8', 'f5']]",[],"[['f2', 'fo2', 'fo3', 'fo8', 'f5']]","[['f2', 'fo2', 'fo3', 'fo8', 'f5']]",8,8,-1,8,8,2.50339508056641E-05,0.000105142593384,0.001297235488892,0.005364418029785,0.006454706192017
lrb3|benchmark3_1,"['f1', 'f7']",1,1,0,0,0,0,0,23,23,2,"[[1, 'v11'], [2, 'v2', 'v3'], [1, 'v14'], [2, 'v15', 'v16'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14'], [1, 'v17'], [1, 'v10'], [2, 'v19', 'v10']]","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']",[],[],[],"[['v11', 'c4', 'v15'], ['v2', 'c8', 'v6'], ['v3', 'c1', 'v1'], ['v14', 'c9', 'v16'], ['v8', 'c2', 'v4'], ['v17', 'c10', 'v13'], ['v10', 'c3', 'v12'], ['v19', 'c6', 'v23']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']]",[],[],[],16,16,-1,-1,-1,4.98294830322266E-05,0.000205755233765,0.001325130462646,0.008279085159302,0.017420291900635
lrb3|benchmark4_1,"['f5', 'f9']",1,1,0,0,0,0,0,23,23,2,"[[2, 'v2', 'v1'], [2, 'v18', 'v6'], [1, 'v14'], [1, 'v16'], [2, 'v15', 'v13'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14'], [1, 'v17'], [1, 'v10'], [2, 'v19', 'v10']]","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']",[],[],[],"[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v18', 'c5', 'v20'], ['v14', 'c9', 'v16'], ['v15', 'c4', 'v11'], ['v13', 'c10', 'v17'], ['v8', 'c2', 'v4'], ['v10', 'c3', 'v12'], ['v19', 'c6', 'v23']]","[['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']]","[['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']]",[],[],[],12,12,-1,-1,-1,4.00543212890625E-05,0.000232696533203,0.001581907272339,0.009093046188355,0.042960166931152
lrb3|benchmark5_1,"['f4', 'f6']",1,1,0,1,1,1,1,3,1,1,"[[1, 'v6'], [2, 'v2', 'v1'], [1, 'v13'], [2, 'v16', 'v17'], [1, 'v24'], [1, 'v16'], [2, 'v2', 'v11'], [1, 'v13'], [2, 'v21', 'v17'], [1, 'v21']]","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']",[],"['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","[['v6', 'c8', 'v2'], ['v1', 'c1', 'v3'], ['v13', 'c10', 'v17'], ['v16', 'c9', 'v14'], ['v24', 'c11', 'v22'], ['v11', 'c4', 'v15'], ['v21', 'c12', 'v25']]","[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]","[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]",[],"[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]","[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]",18,18,-1,18,18,4.26769256591797E-05,0.00023078918457,0.001196384429932,0.006596565246582,0.008358001708984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True positive,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False negative,0,0,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
