v1 f12 fo22
v2 fo14 fo28
v3 f10 f12
v4 f10 fo7
v5 f1 fo25
v6 f6 f11
v7 f8 fo43
v8 fo37 f4
v9 fo35 fo43
v10 fo30 f6
v11 f14 fo45
v12 f2 fo58
v13 fo9 fo48
v14 fo24 fo36
v15 f14 f11
v16 fo20 f7
v17 f3 fo50
v18 fo16 fo26
v19 fo36 f1
v20 f10 fo32
v21 fo50 fo6
v22 fo5 fo51
v23 fo20 f7
v24 fo55 f4
v25 fo38 fo55
v26 fo43 fo58
v27 fo20 f7
v28 fo44 f8
v29 fo18 f9
co1 fo16 fo9
co2 f5 f15
co3 fo40 fo57
co4 fo45 fo30
co5 f8 fo43
co6 f8 fo43
co7 f13 fo2
co8 fo43 fo1
co9 f8 fo33
co10 fo40 f3
co11 f2 fo11
co12 fo57 f3
co13 f3 fo17
co14 fo18 fo33
co15 f2 fo7
co16 fo5 f7
co17 fo37 f4
co18 f4 f1
