v1 f69 f51
v2 f23 f60
v3 f44 fo43
v4 fo46 fo23
v5 fo25 f74
v6 f21 f47
v7 fo22 f65
v8 f23 f60
v9 fo46 fo23
v10 f45 fo40
v11 f33 fo10
v12 fo16 fo36
v13 f67 fo3
v14 fo43 f33
v15 fo18 fo24
v16 fo32 fo8
v17 f63 fo24
v18 f70 f64
v19 f37 fo28
v20 fo23 f33
v21 fo7 f2
v22 f3 f58
v23 f48 fo32
v24 f20 f53
v25 f39 f72
v26 f30 f33
v27 f12 fo35
v28 fo5 f5
v29 f61 fo17
v30 f70 f64
v31 f64 fo36
v32 f36 fo12
v33 fo10 f37
v34 f27 f54
v35 f45 fo40
v36 fo26 fo10
v37 f17 f55
v38 fo16 fo36
v39 fo15 f68
v40 f76 fo47
v41 fo42 fo18
v42 fo20 fo8
v43 f6 f15
co1 f66 f16
