,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,BOCS estimate,Naive success,Dijkstra success,A* success,BOCS success,Constraint List,Naive control List,Dijkstra control list,A star control list,BOCS control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,BOCS path,Naive path length,Dijkstra path length,A* path length,BOCS path length,Naive runtime,Dijkstra runtime,A* runtime,BOCS runtime
lrb2|benchmark1_1,"['f1', 'f4']",1,1,1,0,0,0,0,2,"[[1, 'v1'], [2, 'v2', 'v3'], [1, 'v6'], [1, 'v7']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']",[],"[['v1', 'c1'], ['v2', 'c2'], ['v3', 'c3'], ['v6', 'c6'], ['v7', 'c7']]","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']",[],14,14,14,-1,1.66893005371094E-05,2.24113464355469E-05,5.67436218261719E-05,0.000322580337524
lrb2|benchmark2_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v6']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']",14,14,14,14,2.19345092773437E-05,2.95639038085937E-05,6.41345977783203E-05,0.001411437988281
lrb2|benchmark3_1,"['f2', 'f4']",1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v7']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']",18,18,18,18,1.74045562744141E-05,2.31266021728516E-05,7.41481781005859E-05,0.001386880874634
lrb2|benchmark4_1,"['f2', 'f4']",1,1,1,0,0,0,0,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']",[],"[['v2', 'c2'], ['v1', 'c1'], ['v8', 'c8'], ['v6', 'c6'], ['v4', 'c4']]","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']",[],18,18,18,-1,2.02655792236328E-05,2.55107879638672E-05,7.74860382080078E-05,0.001408815383911
lrb2|benchmark5_1,"['f2', 'f4']",1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [1, 'v7'], [1, 'v3']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v3', 'c3']]","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']",18,18,18,18,1.74045562744141E-05,2.31266021728516E-05,7.55786895751953E-05,0.000380754470825
,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,
true positive,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
