v1 f31 f35
v2 fo4 f38
v3 f12 f29
v4 f33 fo1
v5 f15 f20
v6 f30 fo4
v7 f28 f15
v8 f32 f7
v9 f16 f26
v10 f17 f29
v11 f21 fo4
v12 f19 f31
v13 f5 f31
v14 f12 f29
v15 f21 fo4
v16 f12 fo4
v17 f5 f2
v18 fo2 fo3
v19 f29 f5
v20 f11 f7
co1 fo3 fo1
co2 f10 f15
co3 f13 f16
co4 f28 f15
co5 f34 fo1
co6 f13 f16
co7 f13 f16
co8 f12 f29
co9 f9 f2
co10 f15 f20
co11 f3 fo2
co12 f5 f2
co13 f20 f21
co14 f8 fo4
co15 f11 f7
co16 fo3 fo1
co17 f37 fo2
co18 f4 fo3
co19 f22 fo2
co20 f22 fo2
co21 f36 f34
co22 f29 f5
co23 fo3 fo1
