v1 f32 fo6
v2 f14 f24
v3 f26 f41
v4 f30 fo4
v5 f21 f11
v6 f18 f10
v7 f15 fo13
v8 f25 fo3
v9 f21 fo12
v10 f13 fo12
v11 fo8 f6
v12 fo3 f12
v13 fo12 fo9
v14 f30 fo4
v15 f18 f10
v16 fo14 fo7
v17 f2 f17
v18 f30 fo4
v19 f36 fo14
v20 f41 fo3
v21 f42 f43
v22 f37 f27
v23 fo14 fo10
v24 f17 f47
v25 fo9 fo14
v26 fo4 fo2
v27 f12 f9
v28 f25 fo3
v29 f23 fo5
v30 f6 f24
v31 f18 fo3
v32 f2 fo4
v33 f47 fo3
v34 fo3 fo2
v35 f7 f45
v36 f29 f47
v37 fo10 f30
v38 f3 fo1
v39 f26 f41
v40 fo12 fo9
co1 f45 f25
co2 f13 f38
co3 f38 fo4
co4 f4 fo8
co5 f45 fo11
co6 f27 f20
co7 fo6 fo4
