v1 f40 fo4
v2 f24 fo13
v3 fo17 fo16
v4 f12 f38
v5 f28 fo18
v6 fo3 f17
v7 f28 fo10
v8 f28 fo10
v9 f11 fo28
v10 fo27 f40
v11 f20 fo11
v12 f5 f26
v13 f27 f35
v14 f36 fo25
v15 f28 fo10
v16 f39 fo6
v17 fo8 f12
v18 f25 fo16
v19 f35 fo12
v20 f20 fo12
v21 fo26 f25
v22 f2 fo15
v23 f3 f34
v24 fo20 f18
v25 fo24 fo22
v26 fo3 f17
v27 f6 fo8
v28 fo17 fo16
co1 fo7 f24
co2 f34 fo16
co3 f1 f32
co4 fo22 fo20
co5 f39 f36
co6 f33 f4
co7 fo10 f1
co8 f33 fo5
co9 f32 f34
co10 fo7 f24
co11 fo27 fo22
co12 fo8 f14
co13 f12 f38
co14 f30 fo11
co15 f25 fo16
co16 f37 fo28
co17 f7 fo21
co18 f34 fo16
co19 fo1 f23
co20 fo6 fo3
co21 fo25 f4
co22 f31 f23
co23 fo1 f23
co24 f21 f11
co25 f26 f14
co26 f11 fo13
co27 fo1 fo26
co28 fo12 f22
co29 f34 fo11
co30 f38 f25
co31 fo24 fo22
co32 fo28 fo26
co33 fo27 f29
co34 f16 f40
co35 fo9 f5
co36 f30 fo11
co37 fo14 f28
co38 fo17 fo16
co39 f32 fo6
co40 fo28 fo26
co41 f2 fo15
co42 fo25 f22
co43 f36 f30
co44 fo28 fo26
co45 fo7 f24
co46 fo14 f28
co47 f41 fo24
co48 fo23 fo25
co49 fo26 f35
co50 f15 f38
co51 fo19 fo8
co52 fo10 f27
co53 fo1 fo26
co54 fo1 fo18
co55 fo24 fo22
co56 fo10 f1
co57 f21 f11
co58 f19 fo10
co59 fo7 f17
co60 fo27 fo22
co61 fo8 fo22
co62 fo14 f22
co63 f14 fo14
co64 fo4 f1
co65 f11 fo13
co66 fo2 f17
co67 f24 fo13
co68 f20 fo12
co69 fo7 f26
co70 fo7 fo13
co71 fo8 f14
co72 f31 f23
co73 f19 fo10
co74 f18 fo19
co75 f29 f30
co76 f4 f18
co77 f11 fo6
co78 fo1 f23
co79 fo27 f29
co80 fo10 f22
co81 fo27 fo22
