v1 f8 fo10
v2 fo40 fo26
v3 fo43 f11
v4 fo27 f3
v5 fo63 f3
co1 fo38 fo16
co2 fo17 fo24
co3 fo42 fo38
co4 fo12 fo65
co5 fo36 fo72
co6 fo3 fo60
co7 fo64 fo59
co8 fo63 f3
co9 fo36 fo72
co10 fo1 fo77
co11 fo14 f14
co12 fo77 fo44
co13 fo75 fo20
co14 fo37 fo9
co15 fo26 fo56
co16 fo72 f21
co17 fo38 fo16
co18 f11 f9
co19 fo31 fo69
co20 f3 fo49
co21 fo39 f4
co22 fo2 f15
co23 fo15 f13
co24 f19 fo77
co25 fo40 fo26
co26 fo67 fo12
co27 fo54 fo1
co28 fo17 fo24
co29 fo22 fo50
co30 f4 f17
co31 fo5 fo53
co32 f2 fo78
co33 fo66 fo43
co34 fo54 fo1
co35 fo72 f21
co36 fo79 fo43
co37 fo29 fo82
co38 f6 fo37
co39 f10 fo40
co40 fo62 fo16
co41 fo81 f2
co42 f3 fo49
co43 fo63 f3
co44 f4 f17
co45 fo23 fo39
co46 fo34 f2
co47 f21 fo49
co48 fo76 fo41
co49 fo10 fo40
co50 fo51 fo40
co51 f20 f8
co52 f1 fo65
co53 fo79 fo43
co54 fo33 f9
co55 fo78 f9
co56 f21 fo49
co57 fo61 f1
co58 fo45 f16
co59 fo54 fo1
co60 f1 fo65
co61 fo53 f13
co62 fo14 f14
co63 fo2 f15
co64 fo68 fo25
co65 f19 fo77
co66 fo81 f2
co67 fo45 f16
co68 fo7 fo24
co69 fo58 fo84
co70 fo82 fo20
co71 fo1 fo77
co72 fo71 fo27
co73 fo54 fo1
co74 fo13 fo40
co75 fo64 fo59
co76 f21 fo49
co77 fo1 fo77
co78 fo48 f6
co79 fo83 f15
co80 fo80 f12
co81 fo32 fo33
co82 fo34 f2
