v1 fo15 fo57
v2 fo9 fo78
v3 fo20 f36
v4 fo25 f15
v5 f32 f31
v6 f15 fo92
v7 f6 f47
v8 fo7 fo41
v9 f35 f1
v10 f39 fo27
v11 fo40 fo69
v12 f25 f13
v13 fo93 f36
v14 f51 f32
v15 f9 fo19
v16 f20 f17
v17 f5 f14
v18 fo31 fo90
v19 fo29 fo24
v20 f15 fo54
v21 fo50 f41
v22 fo5 fo93
v23 f42 fo26
v24 fo40 fo69
v25 f12 fo54
v26 fo34 fo69
v27 f48 fo68
v28 f15 fo92
v29 fo34 fo69
v30 fo72 f45
v31 f41 fo91
v32 fo77 f15
v33 fo45 fo5
v34 f11 f24
co1 fo88 f23
co2 f5 f24
co3 f11 fo20
co4 f1 fo28
co5 fo57 fo81
co6 fo5 fo93
co7 f7 fo71
co8 fo56 f45
co9 fo5 fo93
co10 fo73 fo32
co11 fo85 f13
co12 fo85 f17
co13 fo84 f8
co14 f34 f14
co15 fo28 fo38
co16 fo34 fo69
co17 fo16 f31
co18 fo63 fo88
co19 fo34 fo69
co20 f42 fo26
co21 fo1 f22
co22 f36 fo43
co23 f36 fo43
co24 fo52 fo26
co25 fo75 fo67
co26 fo32 fo82
co27 fo36 fo8
co28 f5 f24
co29 fo21 f31
co30 f15 fo92
co31 fo29 fo24
co32 f44 fo10
co33 fo13 fo73
co34 f26 fo48
co35 fo16 f31
co36 fo50 fo27
co37 f15 f9
co38 fo10 fo61
co39 fo81 fo59
co40 f16 f7
co41 fo66 f27
co42 fo41 fo64
co43 f41 fo86
co44 f6 f47
co45 fo7 fo20
co46 f15 f9
co47 f50 fo59
co48 f28 fo7
co49 f15 fo54
co50 fo1 f45
co51 f17 fo23
co52 fo8 fo82
co53 fo12 fo20
co54 fo71 f8
co55 f27 fo40
co56 f21 fo33
co57 f38 f50
co58 fo10 fo85
co59 f48 fo68
co60 f12 fo54
co61 fo50 fo27
co62 fo35 f43
co63 fo59 f33
co64 fo20 f36
co65 fo73 fo32
co66 fo20 f36
co67 f37 f11
co68 fo83 fo1
