v1 f50 fo10
v2 fo57 fo19
v3 fo45 fo34
v4 f39 f47
v5 fo79 fo18
v6 f18 fo50
v7 f19 f20
v8 fo90 f47
v9 f44 fo20
v10 fo38 fo64
v11 f30 f35
v12 f36 f46
v13 f17 fo9
v14 f49 fo15
v15 fo84 fo29
v16 fo88 f5
v17 f44 fo20
v18 fo38 fo64
v19 f6 fo46
v20 f42 f27
v21 fo42 fo27
v22 fo57 fo19
v23 fo83 fo55
v24 f3 f40
v25 fo21 fo57
v26 fo60 fo24
v27 fo36 f49
v28 fo84 fo29
v29 f20 f10
v30 fo8 f1
v31 fo62 f24
v32 f43 f46
v33 fo51 f9
v34 f45 fo80
co1 fo27 f49
co2 f43 f46
co3 f19 f20
co4 fo2 fo55
co5 fo66 f41
co6 f1 fo7
co7 fo89 f36
co8 f51 f23
co9 f48 fo72
co10 fo86 f24
co11 fo33 f33
co12 f1 fo7
co13 fo92 fo19
co14 fo79 fo18
co15 fo48 fo72
co16 f37 fo31
co17 fo69 fo34
co18 fo8 f1
co19 f18 fo50
co20 f21 fo49
co21 fo93 f50
co22 fo5 f22
co23 f1 fo7
co24 fo18 fo17
co25 fo20 fo91
co26 f36 f46
co27 fo84 fo29
co28 fo58 f38
co29 fo36 f49
co30 fo90 f47
co31 f21 fo49
co32 fo84 fo29
co33 fo10 f41
co34 fo59 fo44
co35 f49 fo15
co36 fo57 fo17
co37 fo50 fo69
co38 fo33 f33
co39 fo58 f38
co40 fo33 f33
co41 fo18 fo17
co42 fo45 fo34
co43 f6 fo46
co44 f9 fo42
co45 f3 f40
co46 fo40 f13
co47 fo69 fo34
co48 fo13 fo1
co49 fo42 fo27
co50 fo65 f44
co51 f45 fo80
co52 fo57 fo17
co53 fo31 f9
co54 f15 f6
co55 fo71 fo67
co56 fo10 f41
co57 fo77 fo65
co58 fo84 fo29
co59 f10 f41
co60 fo36 f49
co61 fo91 fo30
co62 fo31 f9
co63 f28 f1
co64 fo64 f20
co65 fo74 f13
co66 f15 f6
co67 fo88 f5
co68 fo13 fo1
