v1 f27 f16
v2 fo69 f1
v3 f16 fo53
v4 fo29 f18
v5 f33 fo13
v6 f18 f48
v7 f13 f18
v8 fo57 fo58
v9 fo16 fo88
v10 fo38 fo87
v11 fo35 fo87
v12 fo8 fo23
v13 f14 f50
v14 fo77 f43
v15 f16 fo53
v16 fo47 fo72
v17 f49 fo12
v18 f19 fo62
v19 f34 f23
v20 fo16 fo88
v21 fo58 f26
v22 fo83 f4
v23 fo93 f10
v24 fo56 f15
v25 f8 f34
v26 fo10 f30
v27 f50 fo60
v28 fo75 fo85
v29 f25 f7
v30 fo86 fo11
v31 fo77 f43
v32 fo75 fo63
v33 fo29 fo77
v34 f24 fo12
co1 fo83 fo90
co2 fo64 fo79
co3 fo33 fo55
co4 f30 fo76
co5 f48 fo66
co6 f14 fo40
co7 f41 fo30
co8 fo64 fo79
co9 fo75 fo85
co10 f16 fo53
co11 fo93 f10
co12 f37 fo81
co13 f49 fo12
co14 fo14 fo90
co15 fo49 fo69
co16 f14 fo40
co17 f29 f28
co18 f1 f38
co19 f39 f13
co20 fo16 fo88
co21 fo49 fo69
co22 fo73 f28
co23 fo29 fo77
co24 fo83 f4
co25 f29 f28
co26 fo78 f7
co27 fo72 f36
co28 fo19 fo59
co29 fo28 f28
co30 fo69 f1
co31 f18 f23
co32 f23 fo60
co33 f18 f48
co34 f12 fo13
co35 f40 f39
co36 fo29 f18
co37 f41 f23
co38 f9 f43
co39 fo5 f9
co40 fo46 f27
co41 f8 f34
co42 f24 f29
co43 f40 f39
co44 fo73 f28
co45 f41 f23
co46 fo17 fo5
co47 fo61 f37
co48 f26 f43
co49 f49 fo12
co50 fo6 fo33
co51 f43 f30
co52 f9 f43
co53 f42 f9
co54 fo1 f18
co55 f37 fo81
co56 f36 fo20
co57 fo23 fo42
co58 fo21 fo73
co59 fo33 fo55
co60 fo70 fo11
co61 fo38 fo87
co62 fo61 f11
co63 fo29 fo77
co64 f24 f29
co65 fo61 f37
co66 fo29 fo77
co67 f25 fo81
co68 f30 fo76
