v1 fo92 f40
v2 f22 f49
v3 fo48 f44
v4 fo85 f41
v5 fo72 f32
v6 fo8 f28
v7 fo61 fo65
v8 fo65 f46
v9 f4 f47
v10 f12 f33
v11 fo49 fo70
v12 f41 f32
v13 fo37 fo3
v14 f15 f38
v15 fo82 f3
v16 f15 f38
v17 fo19 f2
v18 fo6 fo83
v19 fo5 fo51
v20 fo53 f18
v21 f3 f11
v22 fo20 fo21
v23 fo12 f2
v24 fo65 f46
v25 fo19 f2
v26 f10 f27
v27 f20 fo67
v28 fo3 fo92
v29 fo15 fo67
v30 fo65 f46
v31 f19 fo91
v32 f22 fo61
v33 fo66 fo6
v34 fo89 fo42
co1 fo7 f25
co2 f7 fo61
co3 fo91 f43
co4 f27 fo30
co5 fo48 f44
co6 f24 f46
co7 f32 fo4
co8 fo9 fo29
co9 f1 f18
co10 fo22 f23
co11 f12 f33
co12 f43 fo53
co13 fo63 f17
co14 fo17 fo32
co15 fo16 f24
co16 fo76 fo39
co17 f48 f1
co18 fo47 fo34
co19 f13 f25
co20 f42 fo87
co21 f49 fo44
co22 fo8 f28
co23 f22 f49
co24 f26 f24
co25 f25 f24
co26 fo13 fo93
co27 fo38 fo63
co28 fo93 f10
co29 fo70 fo50
co30 f7 fo61
co31 f17 fo24
co32 f26 f24
co33 fo1 f50
co34 f26 f24
co35 f29 fo29
co36 fo49 fo70
co37 f45 f51
co38 fo24 fo30
co39 fo64 fo63
co40 fo83 fo66
co41 f42 fo87
co42 fo15 fo67
co43 f29 fo29
co44 f4 f47
co45 fo83 fo66
co46 fo60 fo46
co47 f4 f47
co48 fo44 fo17
co49 f7 fo61
co50 f7 fo61
co51 f20 fo67
co52 fo33 fo29
co53 f32 fo4
co54 f50 fo71
co55 fo64 f12
co56 fo51 fo57
co57 f38 fo4
co58 fo56 fo54
co59 fo1 f50
co60 f8 fo64
co61 fo26 fo58
co62 f9 fo6
co63 fo10 f4
co64 fo21 f27
co65 f47 f46
co66 f33 fo4
co67 f48 fo14
co68 fo32 fo83
