v1 f34 f11
v2 f13 fo1
v3 f48 fo4
v4 f15 fo13
v5 f40 fo13
v6 f39 f19
v7 fo7 fo9
v8 f25 fo8
v9 f40 fo13
v10 f46 f33
v11 f16 f22
v12 fo12 f40
v13 f32 fo14
co1 f19 f7
co2 f41 f50
co3 f36 fo6
co4 fo11 fo8
co5 f36 fo6
co6 f23 fo12
co7 f35 f9
co8 fo12 f40
co9 fo3 f32
co10 f40 fo13
co11 fo11 fo8
co12 f45 fo13
co13 fo9 f35
co14 f43 f12
co15 f8 fo8
co16 f2 f16
co17 f14 fo7
co18 fo11 fo8
co19 f23 fo12
co20 f48 fo4
co21 fo14 fo6
co22 fo6 f39
co23 f10 fo10
co24 f2 f16
co25 fo3 f32
co26 f29 fo15
co27 fo14 fo6
co28 f15 fo13
co29 f43 f12
