,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,VeSpA 1 estimate,VeSpA 100 estimate,VeSpA INF estimate,Netx Shortest Path (Dijkstra) success,A* success,VeSpA 1 success,VeSpA 100 success,VeSpA INF success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,VeSpA 1 control list,VeSpA 100 control list,VeSpA INF control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,VeSpA 1 path,VeSpA 100 path,VeSpA INF path,Netx Shortest Path (Dijkstra) path length,A* path length,VeSpA 1 path length,VeSpA 100 path length,VeSpA INF path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,VeSpA 1 runtime,VeSpA 100 runtime,VeSpA INF runtime,Best I
lrb1|benchmark1_1,"['f1', 'f4']",1,1,0,0,0,0,0,23,2,2,"[[1, 'v1'], [2, 'v2', 'v3'], [1, 'v6'], [1, 'v7']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']",[],[],[],"[['v1', 'c1'], ['v2', 'c2'], ['v3', 'c3'], ['v6', 'c6'], ['v7', 'c7']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]",[],[],[],14,14,-1,-1,-1,3E-05,0.00012,0.00025,0.00036,0.00033,3
lrb1|benchmark2_1,"['f1', 'f4']",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v6']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']",[],"['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]",[],"[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]",14,14,-1,14,14,3E-05,0.00012,0.00022,0.00134,0.00131,9
lrb1|benchmark3_1,"['f2', 'f4']",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v7']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']",[],"['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",[],"[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",18,18,-1,18,18,3E-05,0.00015,0.00021,0.00129,0.00129,9
lrb1|benchmark4_1,"['f2', 'f4']",1,1,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']",[],[],[],"[['v2', 'c2'], ['v1', 'c1'], ['v8', 'c8'], ['v6', 'c6'], ['v4', 'c4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",[],[],[],18,18,-1,-1,-1,4E-05,0.00016,0.00022,0.00128,0.00128,9
lrb1|benchmark5_1,"['f2', 'f4']",1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [1, 'v7'], [1, 'v3']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v3', 'c3']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",18,18,18,18,18,3E-05,0.00015,0.00017,0.00033,0.00033,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True positive,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False negative,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False positive,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True negative,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error,0.4,0.4,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max time,0.04,0.16,0.25,1.34,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean time,0.03,0.15,0.22,1.28,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg time,0.03,0.14,0.21,0.92,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg I_Best,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
