,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,VeSpA 1 estimate,VeSpA 100 estimate,VeSpA INF estimate,Netx Shortest Path (Dijkstra) success,A* success,VeSpA 1 success,VeSpA 100 success,VeSpA INF success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,VeSpA 1 control list,VeSpA 100 control list,VeSpA INF control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,VeSpA 1 path,VeSpA 100 path,VeSpA INF path,Netx Shortest Path (Dijkstra) path length,A* path length,VeSpA 1 path length,VeSpA 100 path length,VeSpA INF path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,VeSpA 1 runtime,VeSpA 100 runtime,VeSpA INF runtime,Best I
lrb6|benchmark1_1,"['f1', 'f21']",0,0,0,0,0,2,2,23,23,2,"[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'], [2, 'v57', 'v55'], [2, 'v56', 'v55'], [2, 'v17', 'v24'], [2, 'v17', 'v23'], [2, 'v6', 'v11'], [2, 'v17', 'v22'], [1, 'v56'], [2, 'v58', 'v55'], [2, 'v57', 'v55']]",[],[],[],[],[],"[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v5', 'c6', 'v6', 'v8', 'v7', 'v32', 'v33', 'v34', 'v35'], ['v13', 'c5', 'v14', 'v16', 'v15', 'v41', 'v42', 'v43', 'v44'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v54', 'c4', 'v25', 'v59', 'v60', 'v61', 'v62'], ['v57', 'c11', 'v66'], ['v55', 'c9', 'v64'], ['v56', 'c8', 'v63'], ['v11', 'c2', 'v10', 'v12', 'v9', 'v36', 'v37', 'v38', 'v39'], ['v58', 'c10', 'v65']]",[],[],[],[],[],-1,-1,-1,-1,-1,1E-05,0.00034,0.00954,0.20152,0.26181,126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True positive,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False negative,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False positive,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True negative,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max time,0.01,0.34,9.54,201.52,261.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean time,0.01,0.34,9.54,201.52,261.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg time,0.01,0.34,9.54,201.52,261.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg I_Best,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
