,Complexity,All-type Constraints,Vespa INF runtime,NAND Constraints,Num Of Graph,Vespa INF success,benchmark#
1,32,2,4E-05,0,1,2,57
2,33,3,0.0002,1,3,2,54
3,34,3,0.00012,1,1,2,52
4,35,5,0.00022,2,1,2,59
5,36,2,0.0003,0,1,1,53
6,39,3,0.00025,3,1,2,55
7,40,2,0.00024,1,1,1,194
8,41,5,0.00027,1,1,2,60
9,41,2,9E-05,2,1,2,196
10,42,1,7E-05,0,1,2,51
11,44,5,0.00016,1,1,2,34
12,45,2,8E-05,0,1,2,32
13,45,1,0.00013,0,1,2,189
14,46,4,0.00014,1,1,2,36
15,46,3,0.00022,1,1,2,58
16,46,2,0.0002,1,1,2,192
17,46,2,0.00024,1,1,2,193
18,46,3,0.00041,2,3,2,205
19,47,1,0.00018,0,1,2,31
20,47,3,0.00053,1,1,1,56
21,47,4,0.00046,3,1,2,208
22,47,2,0.00015,1,1,2,266
23,48,3,0.0002,1,1,2,38
24,48,3,0.0001,0,1,2,132
25,48,2,0.00022,1,1,2,207
26,48,2,0.00016,0,1,2,262
27,49,2,0.0002,2,1,2,39
28,49,1,0.00013,1,1,2,136
29,49,1,0.00012,1,1,2,172
30,49,4,0.00032,2,1,2,178
31,49,4,0.0005,3,1,2,204
32,49,5,0.00041,3,3,2,215
33,49,3,0.00022,1,1,2,264
34,50,4,0.00034,2,1,2,179
35,50,5,0.00045,1,1,2,209
36,51,3,0.0002,1,1,2,33
37,51,4,0.00062,2,3,2,98
38,51,4,0.00079,3,1,2,135
39,51,5,0.00039,2,1,2,180
40,51,3,0.00112,2,3,2,181
41,51,3,0.0002,1,1,2,191
42,51,4,0.00031,3,1,2,294
43,52,3,0.00028,2,1,2,177
44,52,5,0.00024,2,1,2,182
45,52,2,0.00032,2,1,2,201
46,52,2,0.00019,1,1,2,267
47,53,5,0.00039,2,1,2,174
48,53,2,0.00026,1,1,2,202
49,53,2,0.00061,2,3,2,211
50,53,5,0.00025,3,1,2,283
51,53,2,0.00053,2,3,1,284
52,53,2,0.00026,1,1,2,291
53,54,5,0.00017,1,1,2,20
54,54,1,0.00025,0,1,2,40
55,54,3,0.00022,1,1,2,185
56,54,3,0.00022,1,1,2,188
57,54,2,0.00026,1,1,2,203
58,54,5,0.00031,3,1,2,268
59,54,5,0.00019,1,1,2,290
60,54,2,0.00019,1,1,2,293
61,55,3,0.00024,2,1,2,37
62,55,2,0.00029,1,1,2,91
63,55,4,0.00024,3,1,2,99
64,55,1,0.00011,0,1,2,131
65,55,4,0.00032,1,1,2,173
66,55,5,0.00026,1,1,2,263
67,55,1,7E-05,0,1,2,281
68,55,5,0.00032,4,1,2,295
69,56,1,0.00029,1,1,1,11
70,56,1,7E-05,0,1,2,17
71,56,4,0.00025,3,1,2,93
72,56,4,0.00033,2,1,2,100
73,56,2,0.0002,0,1,2,140
74,56,5,0.00025,2,1,2,199
75,56,5,0.00053,1,1,2,206
76,56,1,0.00015,0,1,2,285
77,57,5,0.00022,2,1,2,12
78,57,5,0.00026,3,1,2,14
79,57,4,0.00019,2,1,2,15
80,57,1,7E-05,0,1,2,19
81,57,3,0.00027,1,1,2,176
82,57,4,0.00055,2,1,2,210
83,57,2,0.00021,2,1,2,265
84,58,4,0.00039,3,1,2,18
85,58,4,0.0008,3,1,2,218
86,58,2,0.00019,1,1,2,219
87,59,2,0.00012,1,1,2,16
88,59,3,0.00034,0,1,2,125
89,59,3,0.00049,2,1,2,137
90,59,4,0.00024,1,1,2,269
91,59,5,0.00025,2,1,2,282
92,59,2,0.00082,1,3,2,288
93,60,4,0.00038,3,1,2,92
94,61,4,0.00159,1,3,2,94
95,61,2,0.00044,1,1,2,133
96,61,4,0.00042,2,1,2,175
97,61,5,0.00027,2,1,2,200
98,61,5,0.00048,3,1,2,213
99,61,5,0.00054,3,1,2,216
100,61,4,0.00067,3,3,2,233
101,61,4,0.00032,1,1,2,286
102,61,2,0.00026,2,1,2,296
103,62,2,0.00019,0,1,2,6
104,62,4,0.00028,2,1,2,35
105,62,3,0.00043,0,1,2,109
106,62,4,0.00066,1,3,2,124
107,62,4,0.00018,1,1,2,127
108,62,2,0.00045,2,1,1,171
109,62,5,0.00046,3,1,2,187
110,62,2,0.00021,0,1,2,261
111,62,4,0.00021,2,1,2,289
112,63,1,0.00072,1,3,2,7
113,63,1,8E-05,0,1,2,13
114,63,5,0.00046,3,1,2,121
115,63,4,0.00064,2,1,2,139
116,63,3,0.00052,2,1,2,214
117,64,3,0.00032,1,1,2,97
118,64,1,0.00022,0,1,2,130
119,64,2,0.0002,0,1,2,234
120,64,5,0.00035,4,1,2,292
121,66,1,7E-05,0,1,2,10
122,66,1,0.00023,1,1,2,186
123,66,1,0.00015,1,1,2,220
124,66,3,0.0004,1,1,2,231
125,67,2,0.00026,0,1,2,1
126,67,4,0.0004,2,1,2,96
127,67,4,0.00114,4,1,2,134
128,67,4,0.00056,3,1,2,197
129,67,1,0.00036,0,1,2,212
130,67,1,0.00029,1,1,2,232
131,67,4,0.00045,1,1,2,236
132,68,3,0.00063,0,1,2,104
133,68,2,0.0005,1,1,2,195
134,68,5,0.00029,2,1,2,198
135,68,3,0.00049,1,1,2,217
136,68,2,0.00015,1,1,2,235
137,68,5,0.00092,3,1,1,237
138,68,5,0.0003,1,1,2,270
139,69,4,0.00097,1,3,2,183
140,70,4,0.00064,1,1,2,138
141,73,4,0.0003,2,1,2,190
142,73,1,0.00038,0,1,1,239
143,74,2,0.0003,1,1,2,95
144,74,2,0.00033,0,1,2,184
145,74,2,0.00026,1,1,2,297
146,75,1,0.00026,0,1,2,123
147,76,3,0.00036,1,1,2,129
148,77,3,0.00041,2,1,2,126
149,79,2,0.00024,0,1,1,153
150,79,1,0.00011,1,1,2,158
151,79,2,0.00036,1,1,2,238
152,79,5,0.00035,3,1,2,298
153,80,5,0.00035,2,1,2,3
154,80,1,0.0006,0,1,2,110
155,80,1,0.00014,0,1,2,146
156,80,3,0.00028,1,1,2,154
157,80,5,0.00024,2,1,2,155
158,80,5,0.00038,3,1,2,156
159,80,3,0.00026,3,1,2,159
160,80,3,0.00035,2,1,2,299
161,80,1,0.00027,0,1,2,300
162,81,4,0.00159,2,1,2,107
163,81,1,0.00026,0,1,2,151
164,82,1,0.00014,0,1,2,44
165,82,2,0.00073,0,1,2,101
166,82,4,0.00126,2,1,2,102
167,82,3,0.0005,1,1,2,149
168,82,4,0.00029,0,1,2,160
169,83,1,0.00026,0,1,2,4
170,83,3,0.00036,0,1,2,43
171,83,1,0.00015,0,1,2,142
172,83,3,0.00031,1,1,2,152
173,83,3,0.00047,1,1,2,240
174,84,3,0.00055,2,9,2,27
175,84,5,0.0009,2,1,2,49
176,84,2,0.00041,1,1,2,143
177,84,2,0.00026,0,1,2,157
178,85,1,0.00034,0,1,2,22
179,85,4,0.00221,4,5,2,122
180,85,2,0.00033,0,1,2,287
181,86,3,0.0006,3,8,2,23
182,86,2,0.00042,1,1,2,41
183,86,2,0.0009,2,1,2,81
184,87,2,0.00095,2,1,1,42
185,87,2,0.00048,0,1,2,85
186,87,2,0.00068,1,1,2,90
187,88,3,0.00029,0,1,2,8
188,88,4,0.00063,1,1,2,50
189,88,5,0.00098,2,3,2,67
190,88,2,0.00019,1,3,2,77
191,89,3,0.00099,1,1,2,61
192,89,1,0.00081,1,3,1,66
193,89,3,0.00028,2,5,2,78
194,89,1,5E-05,0,1,2,167
195,90,3,0.00056,1,1,2,46
196,90,1,0.0001,0,1,2,76
197,90,4,0.00312,3,1,2,82
198,90,1,0.00086,1,1,2,103
199,90,4,0.00095,2,3,2,113
200,90,1,0.00016,0,1,2,150
201,90,5,0.00119,2,3,2,164
202,91,2,0.00037,1,1,2,45
203,91,2,0.001,2,1,2,88
204,91,3,9E-05,0,1,2,116
205,91,1,0.00031,1,1,2,120
206,92,2,0.00032,1,1,2,2
207,92,5,0.0014,4,3,2,26
208,92,2,0.00092,1,1,2,108
209,93,1,0.00018,0,1,2,47
210,93,3,0.00131,2,1,2,64
211,93,3,0.00016,0,1,2,80
212,93,4,0.00093,2,1,2,141
213,93,1,0.00035,0,1,2,161
214,93,4,0.0004,2,5,2,165
215,93,4,0.00055,0,1,2,166
216,93,5,0.00118,1,3,2,168
217,93,3,0.00036,2,1,2,277
218,93,5,0.00058,4,1,2,278
219,94,1,0.00034,1,1,2,147
220,94,2,0.00042,1,1,2,148
221,94,4,0.00198,2,5,2,163
222,94,3,0.00076,1,1,2,244
223,94,5,0.00091,4,3,2,260
224,94,1,0.00011,0,1,2,276
225,95,5,0.00107,2,9,2,21
226,95,3,0.00039,1,3,2,75
227,95,3,0.00019,0,1,2,117
228,95,1,0.00069,1,3,2,170
229,95,5,0.00086,2,1,2,242
230,95,4,0.00176,4,1,2,246
231,96,1,0.00034,0,1,2,5
232,96,3,0.00037,0,1,2,29
233,96,1,0.00082,1,3,2,30
234,96,2,0.00083,0,1,1,71
235,96,3,0.00024,1,1,2,118
236,96,5,0.0026,5,3,2,169
237,96,3,0.0016,3,1,2,241
238,96,4,0.00013,0,1,2,254
239,96,4,0.00056,3,1,2,273
240,96,1,0.00018,1,1,2,275
241,97,4,0.00239,2,5,2,9
242,97,4,0.00168,3,3,2,28
243,97,2,0.00058,0,1,2,62
244,97,3,0.00138,2,1,2,69
245,97,4,0.00114,3,3,2,72
246,97,5,0.00284,2,1,2,83
247,97,5,0.0021,3,1,2,89
248,97,4,0.00057,3,1,2,112
249,97,2,0.0017,1,3,2,115
250,97,4,0.00052,3,1,2,128
251,97,5,0.00144,3,3,2,162
252,97,1,0.00114,1,3,2,223
253,97,2,0.00095,2,1,2,249
254,97,5,0.00274,3,8,2,252
255,97,1,0.00143,1,3,2,258
256,97,4,0.00044,1,1,2,259
257,97,3,0.0004,2,1,2,274
258,97,5,0.00056,2,1,2,280
259,98,3,0.00068,1,1,2,24
260,98,3,0.00111,2,3,2,25
261,98,2,0.00072,0,1,1,48
262,98,4,0.00166,2,1,2,63
263,98,5,0.00224,3,1,2,65
264,98,5,0.00136,3,3,2,73
265,98,4,0.00232,1,1,1,79
266,98,1,0.00081,0,1,2,105
267,98,2,0.00112,1,3,2,224
268,98,3,0.00027,1,1,2,230
269,98,3,0.00075,2,3,2,243
270,98,3,0.00033,0,1,2,255
271,98,4,0.00039,2,1,2,271
272,98,5,0.00049,2,1,2,272
273,99,1,0.0003,0,1,2,68
274,99,4,0.00196,3,1,2,70
275,99,4,0.00096,3,5,2,74
276,99,1,0.00056,1,1,2,84
277,99,5,0.00244,4,1,2,87
278,99,1,0.00032,1,1,2,144
279,99,2,0.00013,1,1,2,225
280,99,5,0.00116,2,3,2,228
281,99,4,0.00033,1,1,2,229
282,99,5,0.0008,1,1,2,245
283,99,3,0.00097,2,3,2,248
284,100,3,0.00114,1,1,2,86
285,100,2,0.0011,1,1,2,106
286,100,1,0.00039,0,1,2,111
287,100,3,0.00017,1,1,2,114
288,100,3,0.00087,3,1,2,119
289,100,3,0.00086,2,1,2,145
290,100,4,0.00114,1,3,2,221
291,100,5,0.00033,2,1,2,222
292,100,5,0.00038,2,1,2,226
293,100,4,0.00033,2,1,2,227
294,100,1,0.00026,0,1,2,247
295,100,3,0.00102,1,1,2,250
296,100,5,0.00038,2,1,2,251
297,100,1,9E-05,0,1,2,253
298,100,5,0.00076,4,1,2,256
299,100,1,0.00046,0,1,2,257
300,100,1,0.0002,1,1,2,279
