,Complexity,All-type Constraints,Vespa INF runtime,NAND Constraints,Num Of Graph,Vespa INF success,benchmark#
1,501,10,0.02319,5,1,2,619
2,501,15,0.21589,7,1,2,702
3,502,10,0.09901,6,17,2,861
4,503,15,0.02841,7,1,2,611
5,503,15,1.43225,11,92,2,706
6,503,11,0.43984,5,5,2,833
7,505,15,0.1026,7,1,2,684
8,506,10,0.02148,4,1,2,615
9,506,10,0.17547,2,9,2,703
10,506,12,1.05689,5,5,2,836
11,507,13,0.02817,7,1,2,617
12,507,14,0.17091,7,41,2,719
13,509,15,0.03377,8,1,2,616
14,509,10,0.2502,7,1,2,704
15,509,12,0.09865,9,18,2,713
16,509,14,0.47641,7,5,2,834
17,510,13,0.0281,8,1,2,618
18,510,10,0.02491,8,1,2,620
19,510,13,0.11433,6,3,2,832
20,512,11,0.02083,4,1,2,614
21,514,11,0.40592,5,9,2,708
22,516,10,0.05545,5,9,2,714
23,516,12,0.14428,10,3,2,838
24,517,10,25.34417,9,3240,2,810
25,518,13,0.02885,2,1,2,869
26,519,14,0.03101,7,1,2,613
27,519,14,2.37628,8,1377,2,801
28,520,12,0.96697,5,3,2,831
29,523,15,0.03453,9,1,2,612
30,526,14,0.94222,6,9,2,837
31,528,10,1.51538,4,27,2,687
32,528,13,0.12378,4,1,2,840
33,530,15,0.08236,8,1,2,718
34,532,14,0.45792,4,45,2,755
35,533,10,0.32412,4,3,2,710
36,533,14,0.18292,9,1,2,839
37,534,10,0.07625,6,1,2,681
38,534,12,0.08914,9,1,2,715
39,535,13,0.11839,4,3,2,866
40,536,10,0.68128,4,81,2,806
41,542,11,1.40413,5,135,2,802
42,543,13,0.05333,9,3,2,746
43,543,14,0.57687,8,90,2,868
44,545,13,0.27096,9,1,2,709
45,552,13,0.29075,8,194,2,757
46,554,10,1.43102,5,45,2,752
47,555,12,0.75944,4,45,2,809
48,555,14,0.08137,7,1,2,870
49,556,11,0.11028,4,1,2,835
50,557,11,0.04534,6,8,2,750
51,558,10,0.1994,3,1,2,683
52,559,13,0.29217,8,1,2,707
53,559,14,0.98336,6,135,2,754
54,563,10,0.03031,4,1,2,747
55,564,11,0.23691,8,1,2,701
56,565,14,0.09472,9,1,2,742
57,569,14,0.14409,6,1,2,682
58,569,15,0.09013,6,1,2,867
59,570,12,0.13818,7,40,2,759
60,570,10,0.10882,7,120,2,808
61,573,14,0.23107,7,1,2,690
62,574,15,0.24126,7,1,2,686
63,574,13,21.40716,9,1125,2,758
64,576,14,0.08284,7,1,2,743
65,577,14,0.10941,7,57,2,622
66,578,13,0.08653,6,38,2,623
67,580,10,0.07543,6,1,2,720
68,582,13,0.0801,8,1,2,864
69,584,11,0.0699,6,22,2,723
