v1 fo30 f15
v2 fo20 f4
v3 fo20 f4
v4 fo35 fo54
v5 f8 fo13
v6 fo8 f19
v7 fo10 fo3
v8 fo1 fo59
v9 fo62 fo5
v10 f18 f4
v11 fo39 fo52
v12 fo13 f4
v13 f6 f18
v14 fo34 f7
v15 f7 fo30
v16 fo7 f10
v17 fo17 f14
v18 fo50 f3
v19 f7 fo30
v20 fo16 fo22
v21 fo64 fo59
v22 fo21 f7
v23 fo27 fo7
v24 fo34 f7
v25 fo65 f5
v26 fo44 fo7
v27 fo28 f3
v28 fo10 fo3
v29 fo9 fo19
v30 fo1 fo59
v31 fo8 f19
v32 f19 fo45
v33 fo47 fo63
v34 fo50 fo32
v35 fo22 f18
v36 fo3 f16
v37 f14 fo48
v38 fo7 f10
v39 fo33 f1
v40 fo27 fo7
v41 fo33 f1
v42 fo27 fo7
v43 fo28 f3
v44 fo7 f10
v45 f4 f5
v46 fo65 f5
co1 fo64 fo59
co2 f19 fo44
