v1 fo80 f3
v2 fo92 f7
v3 fo47 f38
v4 fo13 f5
v5 fo59 f19
v6 f9 f13
v7 fo11 f30
v8 fo47 fo41
v9 f9 f13
v10 f29 f28
v11 f8 f28
v12 fo89 fo45
v13 fo77 fo13
v14 fo73 fo25
v15 fo1 fo88
v16 f7 fo42
v17 fo30 fo5
v18 fo45 f1
v19 fo73 fo25
v20 f5 f30
v21 fo35 f27
v22 fo40 fo80
v23 f39 f10
v24 fo50 fo20
v25 fo82 fo46
v26 fo53 f21
v27 fo25 f33
v28 f13 fo74
v29 fo77 fo13
v30 fo65 f36
v31 fo19 fo51
v32 f27 fo15
v33 fo79 fo25
v34 f26 fo27
v35 f21 fo94
v36 fo77 fo13
v37 f25 fo24
v38 fo42 fo56
v39 f1 f39
v40 fo79 fo86
v41 f11 fo51
v42 fo5 fo41
v43 fo86 fo3
v44 fo42 f38
v45 f1 f22
v46 fo70 f36
v47 fo95 f33
v48 fo75 fo85
v49 f1 f39
v50 fo77 fo13
v51 f35 f24
v52 fo45 f1
v53 f20 f24
v54 fo79 fo86
v55 fo15 f32
v56 fo12 fo80
v57 fo65 f36
v58 f26 fo27
v59 f32 f15
v60 fo75 fo85
v61 fo59 f26
v62 fo38 fo44
v63 fo62 fo90
v64 fo12 f37
v65 f15 fo39
v66 fo95 f33
v67 f15 fo39
v68 fo93 f28
v69 fo21 fo82
v70 fo56 f33
v71 fo87 f2
v72 f15 fo39
v73 fo43 fo64
v74 f17 fo63
v75 fo92 f7
v76 f13 f27
v77 fo47 f38
v78 fo93 f28
co1 fo27 f2
co2 fo7 f2
co3 fo76 fo12
co4 fo48 f17
co5 f18 fo35
co6 fo31 f24
co7 fo63 fo8
co8 fo19 fo51
co9 fo24 f21
co10 fo49 f28
co11 fo91 fo78
co12 fo91 fo78
co13 fo31 f24
co14 f10 fo20
co15 fo12 fo80
co16 f15 f13
co17 fo82 fo46
co18 fo50 fo20
co19 fo62 fo90
co20 f33 fo4
co21 fo43 fo64
co22 fo11 f30
co23 fo23 f28
co24 f27 fo15
co25 fo11 f30
co26 fo73 fo25
co27 fo17 fo78
co28 fo17 fo78
co29 f7 fo42
co30 fo21 fo82
co31 f2 f31
co32 f37 fo66
co33 fo12 f37
co34 f2 f31
co35 fo93 f28
co36 f23 f20
co37 f11 f34
co38 fo54 fo17
co39 f7 f22
co40 fo67 f11
co41 fo1 fo88
co42 f10 fo20
co43 f1 f39
co44 fo62 fo90
co45 fo34 f9
co46 fo82 fo46
co47 f10 fo20
co48 fo56 f33
co49 f11 f34
co50 fo43 fo64
