v1 f40 f12
v2 f34 fo17
v3 f4 fo17
v4 fo23 fo11
v5 f9 f31
v6 f6 fo20
v7 f33 fo4
v8 f12 f9
v9 f30 fo12
v10 f2 fo17
v11 fo17 fo22
v12 f12 f9
v13 f37 fo25
v14 f3 fo14
v15 fo8 fo15
v16 fo18 f19
v17 fo20 fo5
v18 fo9 f26
v19 fo15 f17
v20 f15 fo5
v21 fo22 f13
v22 f3 fo14
v23 f31 f24
v24 f13 f25
v25 f2 fo17
v26 fo2 fo12
v27 f6 fo20
v28 fo1 fo16
v29 f18 f1
v30 f34 f43
v31 fo26 fo23
v32 fo4 fo22
v33 fo3 f43
v34 f9 f31
v35 fo26 f31
v36 f16 fo7
v37 f1 fo9
v38 fo22 f13
v39 f35 f7
v40 f14 fo8
v41 f19 f24
v42 f33 fo4
v43 f25 f16
v44 f15 fo5
v45 fo13 f3
v46 f25 f16
v47 fo6 fo8
v48 fo16 fo25
v49 fo8 fo15
v50 f13 f25
v51 fo20 fo5
v52 fo24 f8
v53 f39 f6
v54 fo20 fo5
v55 f11 fo10
v56 f37 fo25
v57 f33 fo4
v58 f30 fo12
v59 f26 f7
v60 f9 f31
v61 f2 fo17
v62 f15 fo5
v63 f43 f1
v64 f24 f27
v65 f38 f35
v66 f22 f35
v67 fo2 fo12
v68 f16 fo7
v69 fo17 fo22
v70 f1 fo9
v71 f15 fo5
v72 fo7 f38
v73 f38 f35
v74 f42 f26
v75 f26 f7
v76 f16 fo7
v77 f37 fo25
v78 f10 fo26
v79 f27 f11
v80 fo10 f44
v81 f32 f44
v82 f35 f7
v83 f39 f6
v84 f15 fo5
v85 f9 f31
v86 f21 fo10
v87 fo2 fo12
v88 f43 f1
v89 fo8 fo15
v90 fo26 fo23
v91 fo1 fo16
v92 fo16 fo25
v93 f10 fo26
v94 fo9 f26
v95 fo2 fo12
v96 fo5 f42
v97 fo3 f43
v98 f10 fo26
v99 f36 fo17
v100 f3 fo14
v101 fo2 fo12
v102 f17 f22
v103 fo25 fo23
v104 f14 fo8
v105 f5 fo20
v106 f15 f37
v107 fo22 f13
v108 f6 fo20
v109 f33 fo4
v110 fo8 fo15
v111 f41 fo7
v112 fo7 f38
v113 f21 fo10
v114 f4 fo17
v115 fo7 f38
v116 f19 f24
v117 fo1 fo16
v118 fo12 fo24
v119 fo8 fo15
v120 f7 fo6
v121 f3 fo14
v122 f13 f25
v123 fo26 f31
v124 fo18 f19
v125 fo21 f5
v126 f9 f31
v127 f10 fo26
v128 f21 fo10
v129 fo12 fo24
v130 f36 fo17
v131 f2 fo17
v132 fo14 fo24
v133 fo4 fo22
v134 f30 fo12
v135 fo7 f38
v136 f28 f11
v137 f34 fo17
v138 fo1 fo16
v139 f11 fo10
v140 f41 fo7
v141 fo6 fo8
v142 fo8 fo15
v143 f24 f27
v144 fo19 f10
v145 f38 f35
v146 f34 f43
v147 fo19 fo3
v148 f26 f7
v149 f10 fo26
v150 fo25 fo23
v151 f13 f25
v152 f29 f34
v153 fo1 fo16
v154 fo26 fo23
v155 fo23 f22
co1 fo18 f19
co2 fo14 fo24
co3 f21 fo10
co4 fo7 f38
co5 f14 fo8
co6 fo19 fo3
co7 fo3 f43
co8 fo2 fo12
co9 f28 f11
