v1 fo75 fo11
v2 fo65 f23
v3 fo77 fo23
v4 f34 f54
v5 fo30 f59
v6 f25 f19
v7 f18 fo69
v8 fo42 f36
v9 fo5 f45
v10 fo28 f7
v11 f46 fo3
v12 f20 f10
v13 fo82 f48
v14 fo18 f7
v15 fo13 fo47
v16 f54 f30
v17 f48 fo74
v18 f18 fo69
v19 f50 f30
co1 f42 f13
co2 fo7 f7
co3 fo51 fo30
co4 fo56 f24
co5 fo47 f46
co6 fo2 f21
co7 fo5 f45
co8 fo21 fo65
co9 f29 fo86
co10 fo29 f3
co11 fo83 fo17
co12 f60 f54
co13 fo70 fo90
co14 fo55 fo39
co15 f60 f54
co16 fo14 f22
co17 f26 f18
co18 fo80 f23
co19 fo16 fo53
co20 f4 f14
co21 fo33 f48
