v1 fo72 fo55
v2 f17 fo49
v3 f1 f53
v4 fo6 fo40
v5 fo39 f5
v6 fo9 fo80
v7 f46 f16
v8 f33 fo63
v9 fo83 f7
v10 fo51 f51
v11 fo4 f53
v12 f11 f1
v13 f28 fo46
v14 f19 fo6
v15 f2 f22
v16 fo65 fo81
v17 fo5 fo70
v18 fo45 f39
v19 fo77 f53
co1 fo10 f35
co2 fo10 f35
co3 f18 f17
co4 fo67 f57
co5 f50 fo19
co6 f28 fo46
co7 f54 f14
co8 f32 fo62
co9 fo13 fo53
co10 fo58 f59
co11 f19 fo6
co12 fo22 f47
co13 fo52 fo19
co14 f48 f34
co15 fo70 f37
co16 f24 fo81
co17 f48 f34
co18 f31 fo60
co19 f26 f43
co20 f51 f29
co21 fo50 fo12
