v1 f13 fo1
v2 fo2 f7
v3 f51 fo68
v4 fo64 fo82
v5 fo71 f15
v6 fo18 fo68
v7 f54 f29
v8 f5 fo5
v9 f31 f24
v10 f43 fo26
v11 fo66 fo87
v12 f29 fo45
v13 fo32 f3
v14 fo21 fo65
v15 fo30 f28
v16 fo14 f4
v17 fo18 fo68
v18 f18 fo65
v19 fo34 fo88
co1 fo16 f24
co2 fo88 fo85
co3 f5 f33
co4 fo56 fo21
co5 fo12 fo48
co6 f39 fo19
co7 f3 fo54
co8 f19 f54
co9 fo67 f2
co10 fo6 fo10
co11 f21 f35
co12 fo46 f7
co13 fo80 f54
co14 fo68 fo61
co15 f5 f33
co16 fo43 fo76
co17 fo12 fo48
co18 fo3 f59
co19 f4 fo90
co20 f1 f27
co21 f5 f33
