v1 fo13 fo60
v2 fo55 f56
v3 fo81 fo50
v4 fo15 fo68
v5 f30 fo23
v6 f28 fo64
v7 fo3 fo32
v8 fo12 f15
v9 fo36 f1
v10 fo40 fo43
v11 fo50 fo57
v12 fo32 f27
v13 f45 fo54
v14 fo26 f46
v15 fo40 fo43
v16 fo67 f46
v17 fo44 f54
v18 f7 f3
v19 f4 f5
co1 fo72 fo90
co2 f58 f31
co3 fo15 fo68
co4 f17 f46
co5 f13 fo66
co6 fo86 f53
co7 f6 fo11
co8 f9 f6
co9 f34 f53
co10 fo20 f53
co11 fo82 fo64
co12 fo61 fo72
co13 fo12 f15
co14 fo73 f9
co15 f17 f46
co16 f41 f28
co17 f34 f53
co18 f56 fo80
co19 f17 f46
co20 fo48 fo23
co21 fo14 fo33
