v1 f29 fo51
v2 fo23 fo7
v3 fo36 fo87
v4 fo68 fo89
v5 fo65 f50
v6 f18 f12
v7 fo78 f24
v8 fo48 f5
v9 f48 fo31
v10 f40 f58
v11 fo43 f44
v12 f28 f47
v13 fo59 fo73
v14 fo68 fo89
v15 fo67 fo8
v16 fo2 f54
v17 f28 f43
v18 f1 f46
v19 fo55 f38
co1 fo19 fo78
co2 f60 f47
co3 f33 f5
co4 f7 fo10
co5 fo53 fo67
co6 fo86 f30
co7 f56 fo22
co8 fo86 f23
co9 f8 fo20
co10 fo59 fo22
co11 fo34 fo38
co12 fo39 f21
co13 fo21 fo36
co14 f50 fo23
co15 fo57 fo68
co16 f53 f56
co17 f48 fo31
co18 fo42 f41
co19 fo90 fo19
co20 fo23 fo7
co21 f59 fo57
