v1 fo80 f48
v2 f23 f61
v3 f17 f6
v4 f50 fo34
v5 f47 fo25
v6 f47 fo25
v7 fo43 fo40
v8 fo62 fo31
v9 f47 fo25
v10 fo90 fo62
v11 f53 f29
v12 fo59 f58
v13 fo67 fo12
v14 f40 fo7
v15 fo32 f32
v16 fo2 fo76
v17 fo90 fo62
v18 fo67 fo12
v19 fo76 f51
co1 f26 f2
co2 fo33 fo75
co3 f1 f5
co4 fo27 fo33
co5 f37 fo68
co6 fo45 fo73
co7 fo26 f17
co8 fo53 fo82
co9 f25 fo4
co10 fo84 fo32
co11 fo56 f47
co12 f58 f3
co13 fo84 fo32
co14 f14 f13
co15 fo35 fo20
co16 fo85 fo39
co17 f44 f34
co18 fo82 fo12
co19 f22 fo22
co20 fo67 fo12
co21 f28 fo15
