,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,VeSpA 10 estimate,VeSpA 50 estimate,VeSpA estimate,Naive success,Dijkstra success,A* success,VeSpA 10 success,VeSpA 50 success,VeSpA success,Constraint List,Naive control List,Dijkstra control list,A star control list,VeSpA 10 control list,VeSpA 50 control list,VeSpA control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,VeSpA 10 path,VeSpA 50 path,VeSpA path,Naive path length,Dijkstra path length,A* path length,VeSpA 10 path length,VeSpA 50 path length,VeSpA path length,Naive runtime,Dijkstra runtime,A* runtime,VeSpA 10 runtime,VeSpA 50 runtime,VeSpA runtime
lrb1|benchmark1_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,1,1,1,1,"[[1, 'v4'], [2, 'v1', 'v9'], [2, 'v9', 'v13'], [1, 'v14']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v4', 'c6', 'v7'], ['v1', 'c1'], ['v9', 'c7', 'v10', 'v13'], ['v14', 'c8']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",12,12,12,12,12,12,2.64644622802734E-05,4.07695770263672E-05,0.00011682510376,0.001011848449707,0.0008704662323,0.000885725021362
lrb1|benchmark2_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,1,1,1,1,"[[1, 'v7'], [1, 'v12'], [2, 'v6', 'v8'], [2, 'v10', 'v11']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v7', 'c6', 'v4'], ['v12', 'c10'], ['v6', 'c4', 'v8'], ['v10', 'c7', 'v9', 'v13'], ['v11', 'c9']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",12,12,12,12,12,12,2.33650207519531E-05,3.60012054443359E-05,0.000108003616333,0.000969171524048,0.000959396362305,0.000963926315308
lrb1|benchmark3_1,"['f1', 'f4']",1,1,1,0,0,0,0,0,0,2,2,2,"[[1, 'v9'], [2, 'v7', 'v4'], [1, 'v5'], [1, 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],[],[],"[['v9', 'c7', 'v10', 'v13'], ['v7', 'c6', 'v4'], ['v5', 'c5'], ['v2', 'c2']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",[],[],[],12,12,12,-1,-1,-1,2.288818359375E-05,3.62396240234375E-05,0.000107765197754,0.000237703323364,0.000222444534302,0.00022029876709
lrb1|benchmark4_1,"['f1', 'f4']",1,1,1,1,1,1,0,0,0,1,1,1,"[[1, 'v4'], [2, 'v2', 'v1'], [2, 'v3', 'v7']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","[['v4', 'c6', 'v7'], ['v2', 'c2'], ['v1', 'c1'], ['v3', 'c3']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']",12,12,12,14,14,14,2.288818359375E-05,3.57627868652344E-05,0.000105619430542,0.003187894821167,0.003097534179688,0.003121376037598
lrb1|benchmark5_1,"['f1', 'f4']",1,1,1,0,0,0,0,0,0,2,2,2,"[[1, 'v1'], [2, 'v13', 'v9'], [1, 'v4']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],[],[],"[['v1', 'c1'], ['v13', 'c7', 'v9', 'v10'], ['v4', 'c6', 'v7']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",[],[],[],12,12,12,-1,-1,-1,2.31266021728516E-05,3.55243682861328E-05,0.000113964080811,0.000211954116821,0.000200271606445,0.000196695327759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,3,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true positive,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max runtime,2.646E-05,4.077E-05,0.00011683,0.00318789,0.00309753,0.00312138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
middle runtime,2.313E-05,3.6E-05,0.000108,0.00096917,0.00087047,0.00088573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg runtime,2.375E-05,3.686E-05,0.00011044,0.00112371,0.00107002,0.0010776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
