,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,VeSpA 10 estimate,VeSpA 50 estimate,VeSpA estimate,Naive success,Dijkstra success,A* success,VeSpA 10 success,VeSpA 50 success,VeSpA success,Constraint List,Naive control List,Dijkstra control list,A star control list,VeSpA 10 control list,VeSpA 50 control list,VeSpA control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,VeSpA 10 path,VeSpA 50 path,VeSpA path,Naive path length,Dijkstra path length,A* path length,VeSpA 10 path length,VeSpA 50 path length,VeSpA path length,Naive runtime,Dijkstra runtime,A* runtime,VeSpA 10 runtime,VeSpA 50 runtime,VeSpA runtime
lrb2|benchmark1_1,"['f1', 'f4']",1,1,1,0,0,0,0,0,0,2,2,2,"[[1, 'v1'], [2, 'v2', 'v3'], [1, 'v6'], [1, 'v7']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']",[],[],[],"[['v1', 'c1'], ['v2', 'c2'], ['v3', 'c3'], ['v6', 'c6'], ['v7', 'c7']]","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']",[],[],[],14,14,14,-1,-1,-1,1.76429748535156E-05,2.24113464355469E-05,5.69820404052734E-05,0.000340461730957,0.000308513641357,0.000306606292725
lrb2|benchmark2_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v6']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']","['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']",14,14,14,14,14,14,1.69277191162109E-05,2.19345092773437E-05,5.67436218261719E-05,0.001379251480103,0.00131893157959,0.001332759857178
lrb2|benchmark3_1,"['f2', 'f4']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v7']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']",18,18,18,18,18,18,1.69277191162109E-05,2.14576721191406E-05,7.15255737304687E-05,0.001346349716187,0.001346111297607,0.001307487487793
lrb2|benchmark4_1,"['f2', 'f4']",1,1,1,0,0,0,0,0,0,2,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']",[],[],[],"[['v2', 'c2'], ['v1', 'c1'], ['v8', 'c8'], ['v6', 'c6'], ['v4', 'c4']]","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']",[],[],[],18,18,18,-1,-1,-1,1.69277191162109E-05,2.14576721191406E-05,7.34329223632812E-05,0.00134015083313,0.001343488693237,0.001358032226563
lrb2|benchmark5_1,"['f2', 'f4']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [1, 'v7'], [1, 'v3']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v3', 'c3']]","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']","['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']",18,18,18,18,18,18,1.71661376953125E-05,2.19345092773437E-05,7.31945037841797E-05,0.000365972518921,0.000360012054443,0.000365018844604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,2,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true positive,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
