v1 f28 fo1
v2 fo21 f68
v3 fo23 fo25
v4 f9 f68
v5 f37 fo3
v6 f46 fo2
v7 fo25 fo13
v8 fo25 f14
v9 f22 f13
v10 f6 fo16
v11 f53 f43
v12 f27 f34
v13 f60 fo20
v14 fo14 f18
v15 f26 fo17
v16 f69 f50
v17 f24 f45
v18 f67 f48
v19 f29 f63
v20 f59 fo20
v21 f5 fo14
v22 f70 f15
v23 f53 f43
v24 f24 f45
v25 f22 f13
v26 f33 fo9
v27 fo3 f75
v28 f74 fo11
v29 fo22 fo14
v30 fo25 fo9
v31 f12 f7
v32 fo17 fo21
v33 f5 fo14
v34 f18 fo3
v35 f67 f48
v36 f17 f33
v37 f16 f26
v38 f18 fo3
v39 f44 fo11
v40 f9 f68
v41 f5 fo14
v42 f64 f23
v43 f63 fo11
v44 fo20 f18
v45 f63 fo11
v46 f51 f24
v47 fo21 f68
v48 fo17 fo21
v49 f47 fo20
v50 f71 f67
v51 f22 f56
v52 f9 f68
v53 f71 f67
v54 f61 f62
v55 f54 f13
v56 f48 f40
v57 f71 f67
v58 f26 fo17
v59 f61 f62
v60 f21 f48
v61 fo25 f14
v62 f12 f7
v63 f34 f69
v64 f59 fo20
v65 fo3 f49
v66 f24 f23
v67 f11 fo24
v68 f59 fo20
v69 fo11 fo5
v70 f72 f75
v71 fo16 f39
v72 f44 fo11
co1 f52 fo15
co2 f41 f29
co3 fo10 f15
co4 f48 f40
co5 fo3 f49
co6 f27 f34
co7 f11 fo24
co8 f71 f67
co9 f66 fo12
co10 fo17 fo21
co11 f3 fo11
co12 fo25 f14
co13 f45 f55
co14 f51 f24
co15 f73 f33
