,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,VeSpA 10 estimate,VeSpA 50 estimate,VeSpA estimate,Naive success,Dijkstra success,A* success,VeSpA 10 success,VeSpA 50 success,VeSpA success,Constraint List,Naive control List,Dijkstra control list,A star control list,VeSpA 10 control list,VeSpA 50 control list,VeSpA control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,VeSpA 10 path,VeSpA 50 path,VeSpA path,Naive path length,Dijkstra path length,A* path length,VeSpA 10 path length,VeSpA 50 path length,VeSpA path length,Naive runtime,Dijkstra runtime,A* runtime,VeSpA 10 runtime,VeSpA 50 runtime,VeSpA runtime
lrb5|benchmark1_1,"['f1', 'f10']",1,1,1,0,0,0,0,0,0,2,2,2,"[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'], [1, 'v57'], [1, 'v58']]","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62']","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62']","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62']",[],[],[],"[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v5', 'c6', 'v6', 'v8', 'v7', 'v32', 'v33', 'v34', 'v35'], ['v13', 'c5', 'v14', 'v16', 'v15', 'v41', 'v42', 'v43', 'v44'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v54', 'c4', 'v25', 'v59', 'v60', 'v61', 'v62'], ['v57', 'c11', 'v66'], ['v58', 'c10', 'v65']]","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']",[],[],[],26,26,26,-1,-1,-1,5.79357147216797E-05,9.51290130615234E-05,0.000358819961548,0.016371250152588,0.016452312469483,0.016403436660767
lrb5|benchmark2_1,"['f1', 'f14']",1,1,1,0,0,0,0,0,0,2,2,2,"[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'], [1, 'v57'], [1, 'v58']]","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v49', 'v38', 'v30', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'c15', 'v50', 'v52', 'v37', 'v39', 'v29', 'v31', 'v3', 'v28', 'v11', 'v36', 'v19', 'v45', 'v46', 'v47', 'v48', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v51']","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v49', 'v38', 'v30', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'c15', 'v50', 'v52', 'v37', 'v39', 'v29', 'v31', 'v3', 'v28', 'v11', 'v36', 'v19', 'v45', 'v46', 'v47', 'v48', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v51']","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v49', 'v38', 'v30', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'c15', 'v50', 'v52', 'v37', 'v39', 'v29', 'v31', 'v3', 'v28', 'v11', 'v36', 'v19', 'v45', 'v46', 'v47', 'v48', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v51']",[],[],[],"[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v5', 'c6', 'v6', 'v8', 'v7', 'v32', 'v33', 'v34', 'v35'], ['v13', 'c5', 'v14', 'v16', 'v15', 'v41', 'v42', 'v43', 'v44'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v54', 'c4', 'v25', 'v59', 'v60', 'v61', 'v62'], ['v57', 'c11', 'v66'], ['v58', 'c10', 'v65']]","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'f14']","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'f14']","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'f14']",[],[],[],18,18,18,-1,-1,-1,5.69820404052734E-05,9.36985015869141E-05,0.000195503234863,0.015788078308106,0.01580023765564,0.015872478485108
lrb5|benchmark3_1,"['f9', 'f10']",1,1,1,1,1,1,1,1,0,1,1,1,"[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v57'], [1, 'v58'], [1, 'v27'], [1, 'co2']]","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v27', 'co2', 'v60', 'v54', 'v45', 'v36', 'v28', 'c4', 'c7', 'c13', 'c14', 'c16', 'co1', 'co3', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v61', 'v62', 'v53', 'co4', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v5', 'c6', 'v6', 'v8', 'v7', 'v32', 'v33', 'v34', 'v35'], ['v13', 'c5', 'v14', 'v16', 'v15', 'v41', 'v42', 'v43', 'v44'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v57', 'c11', 'v66'], ['v58', 'c10', 'v65'], ['v27', 'c7', 'v53'], ['co2', 'c13', 'c14', 'c16', 'co1', 'co3', 'co4']]","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo41', 'fo19', 'fo25', 'fo26', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']",26,26,26,26,26,26,5.65052032470703E-05,0.000100374221802,0.000350713729858,0.017160415649414,0.01718544960022,0.017186403274536
lrb5|benchmark4_1,"['f5', 'fo41']",1,1,1,1,1,1,1,1,1,1,1,1,"[[1, 'v17'], [2, 'v7', 'v21'], [2, 'v21', 'v15'], [2, 'v16', 'v21'], [1, 'v54'], [1, 'v57'], [1, 'v58'], [1, 'v25'], [1, 'co2']]","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v7', 'c6', 'v6', 'v8', 'v5', 'v32', 'v33', 'v34', 'v35'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v15', 'c5', 'v14', 'v16', 'v13', 'v41', 'v42', 'v43', 'v44'], ['v54', 'c4', 'v25', 'v59', 'v60', 'v61', 'v62'], ['v57', 'c11', 'v66'], ['v58', 'c10', 'v65'], ['co2', 'c13', 'c14', 'c16', 'co1', 'co3', 'co4']]","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']",12,12,12,12,12,12,6.50882720947266E-05,9.70363616943359E-05,0.000247955322266,0.011338949203491,0.011295318603516,0.011249303817749
lrb5|benchmark5_1,"['fo41', 'f22']",1,1,1,1,1,1,1,1,1,1,1,1,"[[1, 'v17'], [2, 'v7', 'v21'], [2, 'v21', 'v15'], [2, 'v16', 'v21'], [1, 'v54'], [1, 'v58'], [1, 'v27']]","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v7', 'c6', 'v6', 'v8', 'v5', 'v32', 'v33', 'v34', 'v35'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v15', 'c5', 'v14', 'v16', 'v13', 'v41', 'v42', 'v43', 'v44'], ['v54', 'c4', 'v25', 'v59', 'v60', 'v61', 'v62'], ['v58', 'c10', 'v65'], ['v27', 'c7', 'v53']]","['fo41', 'fo19', 'fo25', 'fo34', 'fo46', 'f22']","['fo41', 'fo19', 'fo25', 'fo34', 'fo46', 'f22']","['fo41', 'fo19', 'fo25', 'fo34', 'fo46', 'f22']","['fo41', 'fo19', 'fo25', 'fo34', 'fo46', 'f22']","['fo41', 'fo19', 'fo25', 'fo34', 'fo46', 'f22']","['fo41', 'fo19', 'fo25', 'fo34', 'fo46', 'f22']",10,10,10,10,10,10,5.60283660888672E-05,9.44137573242188E-05,9.58442687988281E-05,0.010923385620117,0.010953187942505,0.010943174362183
lrb5|benchmark6_1,"['f9', 'f10']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v57'], [1, 'v58']]","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v61', 'co3', 'v45', 'v36', 'v28', 'c4', 'c13', 'c14', 'c16', 'co2', 'co4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v62', 'co1', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v61', 'co3', 'v45', 'v36', 'v28', 'c4', 'c13', 'c14', 'c16', 'co2', 'co4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v62', 'co1', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v61', 'co3', 'v45', 'v36', 'v28', 'c4', 'c13', 'c14', 'c16', 'co2', 'co4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v62', 'co1', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v61', 'co3', 'v45', 'v36', 'v28', 'c4', 'c13', 'c14', 'c16', 'co2', 'co4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v62', 'co1', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","[['v17', 'c12', 'v18', 'v20', 'v19', 'v45', 'v46', 'v47', 'v48'], ['v5', 'c6', 'v6', 'v8', 'v7', 'v32', 'v33', 'v34', 'v35'], ['v13', 'c5', 'v14', 'v16', 'v15', 'v41', 'v42', 'v43', 'v44'], ['v21', 'c15', 'v22', 'v24', 'v23', 'v49', 'v50', 'v51', 'v52'], ['v57', 'c11', 'v66'], ['v58', 'c10', 'v65']]","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo28', 'fo29', 'fo20', 'fo42', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo28', 'fo29', 'fo20', 'fo42', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo28', 'fo29', 'fo20', 'fo42', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo28', 'fo29', 'fo20', 'fo42', 'fo10', 'f10']",26,26,26,26,26,26,6.03199005126953E-05,9.72747802734375E-05,0.000375270843506,0.018301725387573,0.01828145980835,0.018233776092529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,2,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true positive,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
