,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,VeSpA 10 estimate,VeSpA 50 estimate,VeSpA estimate,Naive success,Dijkstra success,A* success,VeSpA 10 success,VeSpA 50 success,VeSpA success,Constraint List,Naive control List,Dijkstra control list,A star control list,VeSpA 10 control list,VeSpA 50 control list,VeSpA control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,VeSpA 10 path,VeSpA 50 path,VeSpA path,Naive path length,Dijkstra path length,A* path length,VeSpA 10 path length,VeSpA 50 path length,VeSpA path length,Naive runtime,Dijkstra runtime,A* runtime,VeSpA 10 runtime,VeSpA 50 runtime,VeSpA runtime
lrb3|benchmark1_1,"['f1', 'f5']",1,1,1,0,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6'], [1, 'v18'], [2, 'v19', 'v20']]","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']",[],[],[],"[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v8', 'c2', 'v4'], ['v18', 'c5', 'v20'], ['v19', 'c6', 'v23']]","['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']","['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']","['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']",[],[],[],10,10,10,-1,-1,-1,2.26497650146484E-05,3.40938568115234E-05,5.38825988769531E-05,0.004305124282837,0.004184722900391,0.004352569580078
lrb3|benchmark2_1,"['f2', 'f5']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v14'], [1, 'v7'], [2, 'v2', 'v4']]","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v7', 'c7', 'v5'], ['v14', 'c9', 'v16'], ['v4', 'c2', 'v8']]","['f2', 'fo2', 'fo3', 'fo8', 'f5']","['f2', 'fo2', 'fo3', 'fo8', 'f5']","['f2', 'fo2', 'fo3', 'fo8', 'f5']","['f2', 'fo2', 'fo3', 'fo8', 'f5']","['f2', 'fo2', 'fo3', 'fo8', 'f5']","['f2', 'fo2', 'fo3', 'fo8', 'f5']",8,8,8,8,8,8,2.59876251220703E-05,3.36170196533203E-05,5.19752502441406E-05,0.001561641693115,0.001497030258179,0.001484394073486
lrb3|benchmark3_1,"['f1', 'f7']",1,1,1,0,0,0,0,0,0,2,2,2,"[[1, 'v11'], [2, 'v2', 'v3'], [1, 'v14'], [2, 'v15', 'v16']]","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']",[],[],[],"[['v11', 'c4', 'v15'], ['v2', 'c8', 'v6'], ['v3', 'c1', 'v1'], ['v14', 'c9', 'v16']]","['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']","['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']","['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']",[],[],[],16,16,16,-1,-1,-1,2.19345092773437E-05,3.24249267578125E-05,0.00010085105896,0.020740747451782,0.002646684646606,0.002601623535156
lrb3|benchmark4_1,"['f5', 'f9']",1,1,1,0,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v18', 'v6'], [1, 'v14'], [1, 'v16'], [2, 'v15', 'v13']]","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']",[],[],[],"[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v18', 'c5', 'v20'], ['v14', 'c9', 'v16'], ['v15', 'c4', 'v11'], ['v13', 'c10', 'v17']]","['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']","['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']","['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']",[],[],[],12,12,12,-1,-1,-1,2.43186950683594E-05,3.55243682861328E-05,0.000114440917969,0.006325006484985,0.006609916687012,0.006607532501221
lrb3|benchmark5_1,"['f4', 'f6']",1,1,1,1,1,1,1,1,1,1,1,1,"[[1, 'v6'], [2, 'v2', 'v1'], [1, 'v13'], [2, 'v16', 'v17'], [1, 'v24']]","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","[['v6', 'c8', 'v2'], ['v1', 'c1', 'v3'], ['v13', 'c10', 'v17'], ['v16', 'c9', 'v14'], ['v24', 'c11', 'v22']]","['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']","['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']","['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']","['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']","['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']","['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']",18,18,18,18,18,18,2.38418579101562E-05,3.38554382324219E-05,0.000115394592285,0.003186702728271,0.003110885620117,0.00312614440918
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,3,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true positive,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
