,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,VeSpA 10 estimate,VeSpA 50 estimate,VeSpA estimate,Naive success,Dijkstra success,A* success,VeSpA 10 success,VeSpA 50 success,VeSpA success,Constraint List,Naive control List,Dijkstra control list,A star control list,VeSpA 10 control list,VeSpA 50 control list,VeSpA control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,VeSpA 10 path,VeSpA 50 path,VeSpA path,Naive path length,Dijkstra path length,A* path length,VeSpA 10 path length,VeSpA 50 path length,VeSpA path length,Naive runtime,Dijkstra runtime,A* runtime,VeSpA 10 runtime,VeSpA 50 runtime,VeSpA runtime
lrb4|benchmark1_1,"['f1', 'f10']",1,1,1,0,0,0,0,0,0,2,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6'], [1, 'v19'], [2, 'v66', 'v65']]","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62']","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62']","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v61', 'co3', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'v25', 'v60', 'v62']",[],[],[],"[['v2', 'c1', 'v1', 'v3', 'v4', 'v28', 'v29', 'v30', 'v31'], ['v8', 'c6', 'v5', 'v7', 'v6', 'v32', 'v33', 'v34', 'v35'], ['v19', 'c12', 'v18', 'v20', 'v17', 'v45', 'v46', 'v47', 'v48'], ['v66', 'c11', 'v57'], ['v65', 'c10', 'v58']]","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo28', 'fo29', 'fo20', 'fo42', 'fo10', 'f10']",[],[],[],26,26,26,-1,-1,-1,4.67300415039063E-05,7.70092010498047E-05,0.000280857086182,0.003966808319092,0.00389289855957,0.00389838218689
lrb4|benchmark2_1,"['f2', 'f15']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v3'], [1, 'v14'], [2, 'v8', 'v4'], [2, 'v65', 'v45'], [1, 'v56']]","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","[['v2', 'c1', 'v1', 'v3', 'v4', 'v28', 'v29', 'v30', 'v31'], ['v7', 'c6', 'v6', 'v8', 'v5', 'v32', 'v33', 'v34', 'v35'], ['v14', 'c5', 'v13', 'v15', 'v16', 'v41', 'v42', 'v43', 'v44'], ['v65', 'c10', 'v58'], ['v45', 'c12', 'v46', 'v48', 'v17', 'v18', 'v19', 'v20', 'v47'], ['v56', 'c8', 'v63']]","['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']","['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']","['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']","['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']","['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']","['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']",18,18,18,18,18,18,4.76837158203125E-05,7.67707824707031E-05,0.000226497650146,0.016207456588745,0.016197204589844,0.016159057617188
lrb4|benchmark3_1,"['f9', 'f10']",1,1,1,1,1,1,1,1,0,1,1,1,"[[1, 'co2'], [1, 'v24'], [1, 'v32'], [1, 'v49'], [1, 'v41']]","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v61', 'co3', 'v45', 'v36', 'v28', 'c4', 'c13', 'c14', 'c16', 'co2', 'co4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v62', 'co1', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","[['co2', 'c13', 'c14', 'c16', 'co1', 'co3', 'co4'], ['v24', 'c15', 'v21', 'v23', 'v22', 'v49', 'v50', 'v51', 'v52'], ['v32', 'c6', 'v33', 'v5', 'v6', 'v7', 'v8', 'v34', 'v35'], ['v41', 'c5', 'v42', 'v44', 'v13', 'v14', 'v15', 'v16', 'v43']]","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo28', 'fo29', 'fo20', 'fo42', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']","['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']",26,26,26,26,26,26,5.43594360351563E-05,7.77244567871094E-05,0.000282287597656,0.002052068710327,0.002075433731079,0.002050161361694
lrb4|benchmark4_1,"['f5', 'fo41']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v6', 'v11'], [2, 'v18', 'v6'], [1, 'v59'], [1, 'v16']]","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","[['v6', 'c6', 'v5', 'v7', 'v8', 'v32', 'v33', 'v34', 'v35'], ['v11', 'c2', 'v10', 'v12', 'v9', 'v36', 'v37', 'v38', 'v39'], ['v18', 'c12', 'v17', 'v19', 'v20', 'v45', 'v46', 'v47', 'v48'], ['v59', 'c4', 'v25', 'v54', 'v60', 'v61', 'v62'], ['v16', 'c5', 'v13', 'v15', 'v14', 'v41', 'v42', 'v43', 'v44']]","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']","['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']",12,12,12,12,12,12,5.79357147216797E-05,7.62939453125E-05,0.000219583511353,0.008890628814697,0.008855104446411,0.008857250213623
lrb4|benchmark5_1,"['fo41', 'fo34']",1,1,1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [1, 'v45'], [1, 'v49'], [1, 'v26'], [1, 'v27'], [1, 'v58']]","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","[['v2', 'c1', 'v1', 'v3', 'v4', 'v28', 'v29', 'v30', 'v31'], ['v45', 'c12', 'v46', 'v48', 'v17', 'v18', 'v19', 'v20', 'v47'], ['v49', 'c15', 'v50', 'v52', 'v21', 'v22', 'v23', 'v24', 'v51'], ['v26', 'c3', 'v40'], ['v27', 'c7', 'v53'], ['v58', 'c10', 'v65']]","['fo41', 'fo19', 'fo25', 'fo34']","['fo41', 'fo19', 'fo25', 'fo34']","['fo41', 'fo19', 'fo25', 'fo34']","['fo41', 'fo19', 'fo25', 'fo34']","['fo41', 'fo19', 'fo25', 'fo34']","['fo41', 'fo19', 'fo25', 'fo34']",6,6,6,6,6,6,4.50611114501953E-05,7.62939453125E-05,5.00679016113281E-05,0.001892805099487,0.001903533935547,0.001891613006592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,1,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true positive,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
