v1 f5 f7
v2 fo19 fo32
v3 fo13 fo32
v4 fo22 fo24
v5 fo21 f2
v6 fo25 f10
v7 fo30 fo18
v8 fo10 fo23
v9 fo16 f8
v10 fo6 f11
v11 fo3 f2
v12 f12 f1
v13 f7 f4
v14 f9 f11
v15 fo27 fo25
v16 fo30 fo3
v17 f1 f4
v18 fo20 fo19
v19 fo29 fo28
v20 fo13 fo8
v21 fo4 fo2
v22 fo31 fo13
v23 fo14 fo4
v24 fo1 f5
v25 fo3 f10
v26 f4 f5
v27 fo28 f12
v28 fo10 fo15
v29 f12 fo16
v30 fo21 f2
v31 f1 f4
v32 f9 f11
v33 f1 f4
v34 fo12 f10
v35 fo24 fo21
v36 fo23 fo25
v37 fo23 fo25
v38 f10 fo4
v39 f6 fo15
v40 fo18 f10
v41 fo31 fo13
v42 fo28 f12
v43 fo12 f10
v44 fo30 fo18
v45 fo9 fo16
v46 f11 f6
v47 fo17 fo11
v48 f4 f5
v49 f8 fo6
v50 f4 f5
v51 fo26 fo19
v52 f11 f2
v53 fo13 fo32
v54 f11 f2
v55 f7 f6
v56 f11 f6
v57 fo10 fo15
v58 f1 f4
v59 fo10 fo23
v60 fo12 f10
v61 f12 fo16
v62 f2 fo7
v63 fo27 fo25
v64 fo25 f10
v65 fo10 fo15
v66 fo31 fo13
v67 fo31 fo13
v68 f1 fo1
co1 fo30 fo18
co2 fo17 fo26
co3 fo27 fo14
co4 fo1 f5
co5 fo6 f11
co6 f6 fo16
co7 fo27 fo25
co8 fo10 fo23
co9 fo27 fo14
co10 f12 f1
co11 f10 fo4
co12 fo32 fo16
co13 f1 fo27
co14 f11 f6
co15 fo10 fo15
co16 f7 f4
co17 fo10 fo23
co18 fo32 fo16
co19 fo21 fo7
co20 fo31 fo13
co21 fo3 f2
co22 f1 fo1
