v1 fo10 f5
v2 fo22 fo18
v3 f8 fo16
v4 fo8 fo32
v5 fo25 fo17
v6 fo6 f12
v7 f11 fo7
v8 f2 fo1
v9 f8 fo3
v10 fo7 fo25
v11 fo29 fo7
v12 f8 fo3
v13 f8 fo3
v14 fo32 f2
v15 fo29 fo7
v16 fo7 fo25
v17 f7 fo11
v18 fo21 fo29
v19 fo15 fo19
v20 f12 fo10
v21 fo13 fo17
v22 f12 fo10
v23 f10 fo25
v24 fo13 fo14
v25 f1 fo4
v26 f10 fo21
v27 fo1 f9
v28 fo4 f8
v29 fo15 fo19
v30 f5 f8
v31 f12 f11
v32 fo7 f6
v33 f11 f1
v34 fo21 fo30
v35 fo2 fo30
v36 fo24 f1
v37 f9 f4
v38 fo24 f1
v39 fo11 fo5
v40 f11 f1
v41 fo27 f3
v42 fo3 f1
v43 f9 f6
v44 f2 f1
v45 f9 f6
v46 fo12 f2
v47 fo17 f1
v48 fo25 f2
v49 fo27 f2
v50 f6 f2
v51 fo17 f1
v52 fo13 fo14
v53 f2 f1
v54 f7 f3
v55 f10 fo21
v56 f1 fo4
v57 fo13 fo14
v58 fo2 fo30
v59 f10 f7
v60 fo15 fo19
v61 fo23 f11
v62 f12 fo10
v63 fo28 f9
v64 fo12 f2
v65 fo32 f3
v66 fo31 fo19
v67 fo24 f1
v68 f6 fo27
co1 fo12 f7
co2 fo20 fo15
co3 fo7 f6
co4 fo32 f2
co5 fo24 f1
co6 f7 f6
co7 fo4 f8
co8 f6 f2
co9 fo26 fo24
co10 fo14 fo20
co11 fo5 f11
co12 f5 f8
co13 f3 f4
co14 f9 fo2
co15 fo28 f12
co16 f12 f7
co17 f3 f4
co18 f7 fo17
co19 fo2 fo30
co20 fo29 fo7
co21 f8 f6
co22 fo24 f10
