v1 fo11 fo36
v2 fo7 fo14
v3 fo38 f2
v4 fo28 fo29
v5 fo33 f5
v6 fo8 fo30
v7 fo33 f5
v8 f1 f2
v9 fo28 fo29
v10 fo17 f4
v11 f2 fo22
v12 fo31 fo18
v13 fo23 f5
v14 fo18 f2
v15 fo4 f4
v16 fo38 f2
v17 fo27 f3
v18 fo8 fo30
v19 fo9 f1
v20 fo8 fo30
v21 f1 f5
v22 f1 f2
v23 f3 fo19
v24 fo8 f4
v25 fo19 fo17
v26 fo17 f4
v27 f4 fo13
v28 f1 f5
v29 f2 fo22
v30 f2 fo22
v31 fo19 f5
v32 fo23 fo9
v33 fo35 fo25
v34 f5 f4
v35 fo25 fo6
v36 fo22 f1
v37 fo17 f4
v38 fo21 fo33
v39 fo28 fo29
v40 f3 fo19
v41 fo23 fo9
v42 f5 f4
v43 fo17 f4
v44 fo27 f3
v45 fo14 fo27
co1 fo6 fo39
co2 fo26 fo18
co3 fo14 fo27
co4 fo41 fo24
co5 f4 fo41
co6 fo10 f5
co7 fo39 f4
co8 fo16 fo13
co9 fo13 f1
co10 f4 fo13
co11 fo18 f2
co12 f5 f4
co13 fo4 f4
co14 fo2 fo7
co15 f3 fo19
co16 fo19 fo17
co17 fo13 f1
co18 fo7 fo14
co19 f4 fo13
co20 fo33 f5
co21 fo38 f2
co22 f1 fo16
co23 fo19 fo17
co24 f5 f4
co25 f4 fo6
