v1 f24 f100
v2 f78 fo1
v3 f23 fo1
v4 f5 fo1
v5 f74 fo1
v6 f35 fo1
v7 f87 fo1
v8 f23 fo1
v9 f79 f47
v10 f20 f77
v11 f83 fo1
v12 f75 f64
v13 f85 f2
v14 f52 fo1
v15 fo1 f4
v16 f86 f1
v17 fo1 f4
v18 f88 f92
v19 f79 f47
v20 f42 fo1
v21 f80 fo1
v22 f25 f50
v23 f100 fo1
v24 f99 fo1
v25 f31 f89
v26 f13 f59
v27 f65 f22
v28 f21 f62
v29 f56 fo1
v30 f37 f82
v31 f38 f35
v32 f46 fo1
v33 fo1 f4
v34 f35 fo1
v35 f7 fo1
v36 f100 fo1
v37 f25 f50
v38 fo1 f4
v39 f77 f4
v40 f100 fo1
v41 f39 fo1
v42 f15 fo1
v43 f76 fo1
v44 f60 f47
v45 f61 fo1
v46 f29 f47
v47 f31 f89
v48 f46 fo1
v49 f79 f47
v50 f51 f91
v51 f62 fo1
v52 f6 fo1
v53 f13 f59
v54 f74 fo1
v55 f80 fo1
v56 f76 fo1
v57 f56 fo1
v58 f52 fo1
v59 f83 fo1
v60 f63 f37
co1 f65 f22
co2 f10 fo1
co3 f18 fo1
co4 f9 f60
co5 f97 f8
co6 f100 fo1
co7 f44 f15
co8 f73 fo1
co9 f63 f37
co10 f40 fo1
co11 f92 fo1
co12 f87 fo1
co13 f69 f59
co14 f15 fo1
co15 f40 fo1
co16 f7 fo1
co17 f63 f37
co18 f15 fo1
co19 f40 fo1
co20 f83 fo1
co21 f58 fo1
co22 f15 fo1
