v1 f31 f8
v2 f23 fo12
v3 fo10 f27
v4 f42 fo14
v5 f30 fo12
v6 fo9 fo15
v7 fo13 f46
v8 fo3 f6
v9 fo13 f46
v10 f30 fo12
v11 f1 f12
v12 f41 f19
v13 f42 fo14
co1 fo15 fo6
co2 f36 fo15
co3 f2 f36
co4 f23 f44
co5 f29 f23
co6 fo9 fo11
co7 f22 f47
co8 f2 f36
co9 f47 fo14
co10 f6 fo6
co11 fo9 fo15
co12 f9 f45
co13 f25 fo4
co14 f33 f39
co15 f41 f19
co16 f34 fo13
co17 fo13 f46
co18 f30 fo12
co19 f3 fo9
co20 f8 fo10
co21 f14 fo10
co22 f8 fo10
co23 f6 fo6
co24 fo14 fo10
co25 f34 fo13
co26 f5 fo14
co27 f9 f20
co28 f38 f46
co29 f5 fo7
