v1 fo10 f46
v2 f39 fo14
v3 fo6 fo10
v4 f2 fo26
v5 f12 f6
v6 fo47 f42
v7 f47 fo27
v8 fo28 f37
v9 f17 fo48
v10 f44 fo25
v11 fo7 f5
v12 f49 f24
v13 f49 f24
v14 fo1 f38
v15 fo48 fo29
v16 f43 f9
v17 fo14 f5
v18 f23 f36
v19 f41 f49
v20 fo48 f41
co1 fo40 fo34
co2 fo16 f13
co3 f13 f3
co4 fo39 fo36
co5 fo29 f40
co6 f17 fo48
co7 fo2 f11
co8 f20 f23
co9 f28 f10
co10 fo21 fo7
co11 fo44 fo15
co12 f17 fo48
co13 f47 fo38
co14 fo31 f9
co15 fo48 f41
co16 fo28 f37
co17 fo17 fo45
co18 fo25 f3
co19 fo47 f11
co20 f41 f49
co21 fo40 fo34
co22 fo12 fo39
co23 fo16 f13
co24 f10 f47
co25 fo14 f43
co26 f19 f28
