v1 fo4 fo38
v2 f4 f39
v3 fo40 f31
v4 fo42 f45
v5 f11 fo29
v6 fo19 fo34
v7 fo10 f30
v8 fo8 fo47
v9 fo48 f13
v10 f42 fo10
v11 fo16 fo21
v12 f25 fo21
v13 fo17 fo25
v14 fo25 f14
v15 f49 fo26
v16 f23 fo28
v17 fo39 f5
v18 fo43 f10
v19 f42 fo10
v20 fo27 fo42
co1 fo44 f38
co2 fo30 f32
co3 f41 f25
co4 f15 fo45
co5 f36 fo18
co6 fo34 f2
co7 fo32 fo14
co8 fo48 f13
co9 fo28 f36
co10 fo9 fo41
co11 fo10 f30
co12 fo34 f2
co13 f1 f17
co14 fo46 f12
co15 f49 fo26
co16 f24 f3
co17 fo28 f36
co18 f25 fo21
co19 f49 fo26
co20 f18 f20
co21 fo18 fo9
co22 fo12 f12
co23 f35 f37
co24 f22 f2
co25 fo18 fo9
co26 fo5 fo31
