v1 f7 f28
v2 f48 f17
v3 fo12 fo43
v4 fo25 fo30
v5 fo29 f45
v6 fo5 fo24
v7 f10 fo22
v8 f20 fo41
v9 f14 fo7
v10 fo40 fo13
v11 f44 fo6
v12 f16 f34
v13 f17 f35
v14 fo38 f10
v15 f4 fo7
v16 f44 fo6
v17 fo6 f42
v18 f36 fo11
v19 f43 fo6
v20 f49 fo23
co1 f17 f35
co2 fo14 f19
co3 f48 f24
co4 fo14 f19
co5 fo17 f45
co6 fo42 f23
co7 fo29 f45
co8 fo34 f8
co9 f6 fo16
co10 fo10 f47
co11 f31 fo37
co12 fo45 f24
co13 f48 f17
co14 f28 fo31
co15 f17 fo34
co16 fo10 f47
co17 fo27 fo37
co18 f21 fo30
co19 fo40 fo13
co20 f48 f45
co21 fo16 fo21
co22 fo6 f23
co23 f11 f9
co24 fo34 f8
co25 f21 fo15
co26 fo7 fo6
