v1 fo4 f30
v2 f43 f12
v3 f4 fo32
v4 fo35 f31
v5 fo7 f18
v6 f17 fo43
v7 f14 f37
v8 fo33 f20
v9 fo2 f44
v10 f35 fo29
v11 f16 f25
v12 fo10 fo19
v13 f21 fo44
v14 fo3 fo13
v15 f20 fo23
v16 f24 fo14
v17 f20 fo23
v18 f15 f20
v19 fo10 f33
v20 f45 fo35
co1 f3 fo30
co2 fo11 f14
co3 fo28 f10
co4 fo7 fo29
co5 fo46 f8
co6 f24 f8
co7 f24 f19
co8 f32 fo9
co9 fo20 fo44
co10 f42 fo32
co11 fo15 f10
co12 f3 fo30
co13 fo21 fo14
co14 f26 f44
co15 fo5 fo48
co16 fo11 fo14
co17 fo3 fo14
co18 f34 fo44
co19 f9 f46
co20 f16 fo36
co21 fo42 fo19
co22 f33 f38
co23 fo9 fo21
co24 fo43 fo23
co25 fo34 f20
co26 f17 fo43
