v1 fo49 f17
v2 fo50 fo62
v3 fo27 f16
v4 f1 f23
v5 fo24 f11
v6 fo1 f7
v7 fo38 fo64
v8 f5 fo22
v9 fo18 f20
v10 f2 f8
v11 fo56 fo25
v12 fo7 fo23
v13 fo25 fo63
v14 fo41 fo58
v15 fo53 fo55
v16 fo58 f24
v17 f5 fo22
v18 f4 f24
v19 fo33 f3
v20 f21 fo2
v21 f13 fo27
v22 f1 f23
v23 fo36 f22
v24 f22 f16
v25 fo32 fo20
v26 fo3 fo60
v27 fo9 fo13
v28 fo52 f21
v29 fo11 fo65
v30 fo30 fo4
v31 fo35 fo44
v32 f15 fo57
v33 fo35 fo44
v34 fo6 f2
co1 fo5 fo64
co2 fo38 fo64
co3 fo59 fo37
co4 fo44 f18
co5 fo3 fo60
co6 fo58 f24
co7 fo29 fo35
co8 fo66 f15
co9 fo37 fo42
co10 f11 f7
co11 fo57 f3
co12 fo9 fo13
co13 fo48 f18
co14 fo33 f3
co15 fo24 f11
co16 fo5 fo64
co17 fo37 fo42
co18 fo58 f24
co19 fo10 fo26
co20 fo46 fo48
co21 f13 fo27
co22 fo59 fo37
co23 fo51 f20
co24 f11 f7
co25 fo63 f1
co26 fo10 fo26
co27 fo34 f16
co28 fo51 f20
co29 f12 fo62
co30 fo6 f2
co31 fo27 f16
co32 fo13 f12
co33 fo44 f18
co34 fo7 fo23
co35 f16 fo57
co36 fo48 f18
co37 fo21 fo39
co38 fo13 f12
co39 fo13 f12
co40 fo41 fo58
co41 fo30 fo4
co42 fo32 fo20
co43 fo1 f7
co44 fo6 f2
co45 fo48 f18
co46 fo13 f12
co47 fo26 fo50
co48 fo16 fo13
co49 fo22 f20
co50 fo62 fo53
co51 f26 fo24
co52 f19 f6
co53 fo18 f20
co54 fo66 f15
co55 fo56 fo25
co56 fo23 fo6
co57 fo16 fo13
co58 fo29 fo35
co59 fo64 f20
co60 f22 f16
