v1 f12 fo22
v2 fo76 fo59
v3 fo48 f26
v4 f10 f24
v5 fo48 f26
v6 f26 fo105
v7 fo91 fo26
v8 fo17 fo100
v9 f16 fo7
v10 fo14 fo3
v11 fo19 f11
v12 f16 fo40
v13 fo54 f17
v14 fo28 f24
v15 fo90 fo7
v16 fo28 f16
v17 fo63 f14
v18 fo98 fo4
v19 f14 fo23
v20 fo46 fo98
v21 f11 f27
v22 fo106 f14
v23 fo30 fo86
v24 fo72 fo57
v25 fo24 fo45
v26 f13 f15
v27 f5 fo98
v28 fo51 f18
v29 fo94 fo89
v30 f9 f6
v31 fo32 fo89
v32 fo24 fo45
co1 fo107 f1
co2 fo2 f1
co3 fo82 f21
co4 fo70 fo91
co5 fo12 f2
co6 f3 fo86
co7 fo36 f15
co8 fo3 fo35
co9 fo11 fo1
co10 fo84 fo6
co11 fo28 f16
co12 fo62 fo16
co13 f24 fo66
co14 fo21 fo6
co15 fo24 fo45
co16 fo37 f15
co17 fo91 fo26
co18 fo17 fo100
co19 fo66 f17
co20 f10 f24
co21 fo101 fo83
co22 fo9 fo78
co23 f5 fo98
co24 fo2 f1
co25 fo104 f22
co26 f11 f27
co27 fo33 f6
co28 fo44 fo82
co29 fo38 fo14
co30 fo62 fo16
co31 fo9 fo78
co32 f20 fo20
co33 fo62 fo16
co34 f1 f21
co35 fo102 fo84
co36 fo33 fo30
co37 fo67 f9
co38 fo28 f24
co39 fo77 fo75
co40 fo20 f3
co41 f20 fo20
co42 fo48 f22
co43 fo87 fo77
co44 fo75 f16
co45 fo97 fo34
co46 fo35 f18
co47 fo60 fo72
co48 f1 fo82
co49 fo58 fo54
co50 fo6 fo23
co51 f2 f18
co52 fo48 f26
co53 fo62 fo16
co54 fo23 f25
co55 f27 f1
co56 fo28 f24
co57 fo107 f1
co58 fo54 f17
co59 fo72 fo57
co60 fo17 fo77
co61 fo9 fo78
co62 f18 fo83
co63 fo46 fo98
co64 fo90 fo7
co65 fo21 fo6
co66 fo5 f14
co67 fo6 fo23
co68 fo67 f9
co69 fo20 f3
co70 fo94 fo89
co71 f1 f21
co72 f18 fo28
co73 f2 f18
co74 fo95 fo72
co75 fo11 fo1
co76 fo9 fo78
co77 fo36 f15
co78 fo4 f23
co79 fo104 f22
co80 fo23 f25
co81 f7 fo102
co82 fo78 fo103
co83 fo96 fo23
co84 fo58 fo54
co85 f24 fo66
co86 fo45 fo108
co87 fo5 f14
co88 f13 f15
co89 fo74 f18
co90 fo61 fo84
co91 fo18 fo19
co92 fo84 fo6
co93 fo32 fo89
co94 fo13 f13
co95 fo39 fo94
co96 f7 fo102
co97 fo4 f23
co98 fo4 f23
co99 fo29 f24
co100 fo106 f14
co101 fo66 f17
co102 fo94 fo89
co103 f6 fo50
co104 fo85 fo8
co105 fo66 f17
co106 fo100 fo78
co107 fo90 fo7
co108 fo62 fo16
co109 fo24 fo45
co110 fo64 f2
co111 fo25 f25
co112 fo74 f18
co113 fo76 fo59
co114 f25 fo57
