v1 f13 f10
v2 f66 fo9
v3 fo4 fo7
v4 f35 fo7
v5 fo2 fo7
v6 f26 fo7
v7 f3 fo6
v8 f22 f32
v9 f37 f27
v10 f47 f69
v11 f60 f68
v12 fo2 fo7
v13 f40 f18
v14 f20 fo7
v15 f63 fo6
v16 f57 fo8
v17 f36 f68
v18 f55 f70
v19 f26 fo7
v20 f28 fo6
v21 f70 f16
v22 f49 f17
v23 f4 f37
v24 f23 fo8
v25 f23 fo8
v26 f4 f37
v27 f8 f9
v28 f23 fo8
v29 f32 fo5
v30 f63 fo6
v31 f29 fo7
v32 f18 fo1
co1 f10 fo5
co2 f49 f17
co3 f67 fo2
co4 f1 f50
co5 f15 fo4
co6 f1 f50
co7 f51 fo9
co8 f46 fo9
co9 f66 fo9
co10 f10 fo5
co11 f6 fo7
co12 f31 f45
co13 f49 f17
co14 f4 f37
co15 f48 f18
co16 f26 fo7
co17 f64 f8
co18 f22 f32
co19 f49 f17
co20 f50 fo7
co21 f60 f68
co22 f2 fo3
co23 f44 f37
co24 f56 fo1
co25 f46 fo9
co26 f6 fo7
co27 f58 fo3
co28 f15 fo4
co29 f42 f13
co30 f33 fo1
co31 f43 fo9
co32 fo3 f69
co33 f2 fo3
co34 f17 fo5
co35 f54 f32
co36 f49 f17
co37 f17 fo5
co38 f35 fo7
co39 f31 f45
co40 fo2 fo7
co41 f8 f9
co42 f33 fo1
co43 f48 f18
co44 f16 fo5
co45 f30 f9
co46 f24 fo4
co47 fo6 f31
co48 f4 f37
co49 f6 fo7
co50 f46 fo9
co51 f3 fo6
co52 f30 f9
co53 f32 fo5
co54 fo5 fo6
co55 f34 f54
