v1 fo93 fo75
v2 fo92 fo46
v3 fo2 fo82
v4 fo16 fo37
v5 fo66 fo28
v6 fo44 f3
v7 fo58 fo2
v8 fo65 fo9
v9 fo109 fo57
v10 fo65 fo9
v11 fo87 fo81
v12 fo36 fo45
v13 fo66 fo28
v14 fo65 fo9
v15 fo19 f10
v16 fo87 fo81
v17 fo84 fo98
v18 fo86 f4
v19 f14 fo65
v20 fo2 fo82
v21 fo73 fo96
v22 fo71 fo23
v23 fo74 fo11
v24 fo56 f8
v25 fo69 f9
v26 fo77 fo116
v27 fo121 f13
v28 fo20 f14
v29 fo43 f15
v30 fo65 fo9
v31 fo57 f9
v32 fo100 fo38
v33 fo18 fo6
v34 f10 fo18
v35 fo105 fo77
v36 fo2 fo82
v37 fo98 fo20
v38 f3 f14
v39 fo121 f13
v40 fo115 f3
v41 f1 fo115
v42 fo3 fo109
v43 fo100 fo38
v44 f2 f9
v45 fo25 f4
v46 fo5 f11
v47 fo32 fo45
v48 fo115 f3
v49 fo65 fo9
v50 fo12 fo15
v51 fo39 fo94
v52 fo25 f4
v53 fo40 f14
v54 fo104 fo82
v55 fo67 f5
v56 f14 fo65
v57 fo69 f9
v58 fo26 f15
v59 fo67 f5
v60 fo54 fo3
v61 fo60 fo59
v62 fo53 fo15
v63 fo32 fo45
v64 fo86 f4
v65 fo53 fo15
v66 fo91 fo114
v67 fo30 fo63
v68 fo11 fo113
v69 fo48 f6
v70 fo114 fo121
v71 fo108 fo69
v72 fo85 f6
v73 fo120 f6
v74 fo94 fo42
v75 fo72 f3
v76 fo38 fo53
v77 f3 f14
v78 f15 fo42
v79 fo62 fo30
v80 f14 fo65
v81 fo22 f8
v82 f14 fo65
v83 fo23 fo72
v84 fo34 f10
v85 fo3 fo109
v86 fo10 fo98
co1 fo38 fo53
co2 fo6 fo15
co3 fo116 f12
co4 f5 f1
co5 fo66 fo28
co6 fo85 f6
