v1 fo49 fo73
v2 fo32 f13
v3 fo36 fo17
v4 fo24 f13
v5 fo85 fo102
v6 fo62 fo117
v7 fo56 f15
v8 fo65 f2
v9 fo36 fo17
v10 fo58 f5
v11 fo75 fo65
v12 fo54 fo79
v13 fo115 f10
v14 fo61 fo78
v15 fo70 f2
v16 fo28 fo42
v17 fo119 fo74
v18 fo24 f13
v19 fo78 f5
v20 f7 fo62
v21 fo61 fo78
v22 fo72 fo37
v23 fo65 f2
v24 fo92 f15
v25 f7 fo62
v26 fo87 f12
v27 fo114 fo34
v28 fo99 fo5
v29 fo44 fo32
v30 fo52 f14
v31 f11 f7
v32 fo61 fo78
v33 fo65 f2
v34 f7 fo62
v35 f8 fo10
v36 fo42 f10
v37 fo32 f13
v38 fo35 fo19
v39 f7 fo62
v40 fo9 fo5
v41 fo13 fo116
v42 fo73 f14
v43 fo61 fo78
v44 fo114 fo34
v45 fo118 fo13
v46 fo45 f10
v47 fo113 fo84
v48 fo100 fo80
v49 fo77 f10
v50 fo87 f12
v51 fo39 f9
v52 fo39 f9
v53 fo109 fo42
v54 fo119 fo74
v55 fo72 fo37
v56 fo94 fo69
v57 fo80 fo49
v58 fo47 f14
v59 f12 f10
v60 fo93 f7
v61 fo44 fo32
v62 fo121 f2
v63 fo57 f7
v64 fo107 f4
v65 fo72 fo37
v66 fo31 fo24
v67 fo102 fo41
v68 fo32 f13
v69 f3 f4
v70 fo103 f2
v71 fo109 fo42
v72 fo61 fo78
v73 fo76 fo107
v74 fo115 f10
v75 fo118 fo13
v76 f1 f9
v77 f3 f4
v78 fo75 fo65
v79 fo45 f10
v80 fo74 fo34
v81 f8 fo10
v82 fo114 fo34
v83 fo97 f10
v84 f11 f7
v85 fo40 f1
v86 fo28 fo42
co1 fo9 fo5
co2 fo21 fo22
co3 fo50 f7
co4 fo10 fo77
co5 fo57 f7
co6 fo119 fo74
