v1 f14 fo12
v2 f13 fo14
v3 f12 f4
v4 f1 fo1
v5 f17 f23
v6 fo1 fo6
v7 fo8 f32
v8 fo12 f23
v9 f38 fo10
v10 f32 f19
v11 fo15 f3
v12 fo11 fo15
v13 f18 fo18
v14 fo10 f3
v15 f7 fo5
v16 fo16 fo1
v17 fo8 f32
v18 f21 f33
v19 fo5 f31
v20 f10 fo16
v21 f24 f7
v22 f39 f6
v23 f7 fo5
v24 f16 f37
v25 f36 fo9
v26 f31 fo2
v27 f8 f18
v28 f29 f19
v29 f10 fo16
v30 f17 f23
v31 f23 f19
v32 fo7 f38
v33 fo9 f15
v34 f4 fo8
v35 f36 fo9
v36 fo17 fo7
v37 f27 fo9
v38 f33 fo19
v39 fo1 fo6
v40 fo14 fo4
v41 f24 f7
v42 fo13 fo8
v43 f40 f11
v44 f34 f6
co1 fo7 f38
