v1 fo32 f25
v2 fo20 f4
v3 f9 fo50
v4 fo41 fo4
v5 fo55 fo24
v6 fo15 f30
v7 fo14 f10
v8 fo51 f17
v9 f9 fo50
v10 f22 f5
v11 fo50 f3
v12 f29 f44
v13 fo13 f26
v14 f3 fo30
v15 f13 f15
v16 f44 fo12
v17 fo41 f17
v18 f39 fo56
v19 f44 fo12
v20 fo64 fo29
v21 fo18 fo4
v22 fo33 f14
v23 fo14 f10
v24 f42 fo44
v25 f33 f50
v26 fo55 f33
v27 f16 fo68
v28 f10 fo60
v29 fo30 fo32
v30 f7 fo55
v31 fo13 f26
v32 fo45 fo69
v33 fo14 f10
v34 fo5 f36
v35 fo70 fo4
v36 fo56 f53
v37 f7 f31
v38 f10 f36
v39 f12 f33
v40 fo33 f14
v41 f30 fo36
v42 fo44 fo25
v43 fo67 fo41
v44 fo59 fo38
v45 fo68 fo72
v46 fo25 fo54
v47 f23 f54
v48 f48 f37
v49 f49 fo9
v50 fo15 f30
v51 f33 f50
v52 fo35 fo12
v53 fo35 fo12
v54 fo31 f22
v55 f22 f5
v56 fo26 f38
v57 f2 fo68
v58 f5 f27
v59 fo21 f47
v60 f2 fo35
v61 fo59 fo38
v62 fo69 fo57
v63 fo18 fo32
v64 fo67 fo41
v65 f15 f41
co1 f9 fo50
co2 f19 fo65
co3 f18 fo44
co4 fo21 f49
co5 fo64 fo31
co6 f7 f31
co7 fo10 fo12
co8 f46 fo69
co9 f34 fo56
co10 f11 f9
co11 fo50 f3
co12 f7 f31
co13 f10 f36
co14 f31 fo49
co15 f34 fo29
co16 fo5 f36
co17 fo52 fo29
co18 f50 fo37
co19 f51 fo44
co20 fo9 fo26
co21 f8 fo61
co22 f43 fo8
co23 fo15 f30
co24 fo37 fo2
co25 fo40 f53
co26 fo33 f14
co27 f5 fo68
co28 fo39 f45
co29 f7 fo55
co30 fo45 fo69
co31 fo18 fo4
co32 f45 fo65
co33 fo8 fo7
co34 fo41 f17
co35 fo61 fo47
co36 f33 f8
co37 fo40 f53
co38 f16 fo68
co39 fo67 f30
co40 f20 fo44
co41 fo10 fo12
co42 f7 fo55
co43 f20 fo44
co44 fo35 fo12
co45 fo9 fo26
co46 f4 f18
co47 fo63 fo72
co48 f3 fo30
co49 fo12 f50
co50 fo19 f12
co51 fo10 f18
co52 fo59 f38
co53 fo55 f12
co54 f41 fo40
co55 fo26 fo29
co56 fo21 f31
co57 fo18 fo32
co58 f46 fo69
co59 fo49 f27
