v1 fo15 fo44
v2 f44 fo65
v3 fo31 fo61
v4 f53 fo59
v5 fo67 fo8
v6 f54 f18
v7 fo30 f26
v8 f54 f18
v9 fo31 fo61
v10 f1 f28
v11 fo35 fo32
v12 f8 fo27
v13 fo55 f26
v14 fo2 fo10
v15 f26 f42
v16 fo59 f20
v17 f47 fo19
v18 f54 f18
v19 f16 f30
v20 fo37 f40
v21 fo44 f23
v22 fo52 f9
v23 fo67 fo8
v24 f28 f40
v25 fo21 fo25
v26 fo64 f52
v27 f30 fo6
v28 f7 fo46
v29 f3 f22
v30 fo28 f8
v31 fo33 fo43
v32 fo11 fo54
v33 fo41 f49
v34 fo22 fo11
v35 f16 f30
v36 f9 f29
v37 f26 f42
v38 fo55 f26
v39 f50 fo32
v40 fo12 fo21
v41 f1 f28
v42 fo50 fo35
v43 fo5 f30
v44 f18 f46
v45 fo9 fo67
v46 f9 f29
v47 fo52 f9
v48 f43 fo58
v49 fo55 f26
v50 fo70 f8
v51 fo71 f34
v52 fo20 f41
v53 f52 f3
v54 f20 fo2
v55 f48 fo2
v56 fo40 fo13
v57 f11 fo17
v58 f47 fo19
v59 fo14 f36
v60 fo47 f11
v61 fo28 f8
v62 f2 fo42
v63 fo46 fo42
v64 f21 f44
v65 f14 f11
co1 fo56 f20
co2 fo58 fo71
co3 fo51 fo46
co4 fo17 f28
co5 fo62 f30
co6 f30 fo6
co7 f9 f29
co8 fo34 f53
co9 f18 f46
co10 fo28 f8
co11 fo16 f46
co12 fo37 f40
co13 fo52 f9
co14 fo60 fo48
co15 fo71 f34
co16 f3 f22
co17 fo58 fo71
co18 fo44 f23
co19 fo26 f31
co20 fo45 f14
co21 fo40 fo13
co22 fo49 f48
co23 f54 f18
co24 f12 f46
co25 fo11 fo54
co26 fo68 f1
co27 fo50 fo35
co28 f32 f35
co29 fo8 f10
co30 fo33 fo43
co31 fo46 fo42
co32 fo69 f33
co33 f53 fo59
co34 f16 f30
co35 f11 fo17
co36 fo69 f33
co37 f24 fo19
co38 fo24 fo70
co39 fo57 f25
co40 fo39 f4
co41 fo33 fo43
co42 f11 fo17
co43 fo45 f14
co44 fo52 f9
co45 fo66 fo68
co46 f3 f22
co47 fo4 fo5
co48 fo3 fo43
co49 f7 fo46
co50 f41 f35
co51 fo64 f52
co52 fo41 f49
co53 fo25 fo26
co54 fo70 f8
co55 fo27 f6
co56 f29 fo55
co57 fo52 f9
co58 f11 fo17
co59 f34 fo72
