v1 f45 f4
v2 fo62 fo6
v3 f21 f42
v4 f26 fo24
v5 fo54 f27
v6 f37 fo16
v7 f24 f1
v8 fo72 fo58
v9 f24 f1
v10 f9 f37
v11 fo6 f34
v12 fo25 fo14
v13 fo18 f13
v14 fo36 f22
v15 f52 fo52
v16 f2 f3
v17 fo7 f7
v18 fo61 fo35
v19 fo15 fo24
v20 fo57 fo32
v21 fo17 f23
v22 fo31 fo47
v23 fo48 f16
v24 fo56 f21
v25 fo7 f7
v26 f26 fo16
v27 fo13 f37
v28 fo54 f27
v29 fo55 fo28
v30 f13 f39
v31 fo69 f50
v32 f16 f20
v33 f5 fo55
v34 f48 f30
v35 fo46 fo66
v36 f48 f30
v37 f39 f19
v38 fo11 fo71
v39 f22 f53
v40 f11 f36
v41 f8 fo19
v42 f34 fo21
v43 fo30 fo46
v44 f22 fo4
v45 fo31 fo47
v46 fo34 fo72
v47 fo30 fo46
v48 f53 fo20
v49 f4 fo21
v50 fo42 fo57
v51 fo8 f29
v52 fo36 f22
v53 fo17 f23
v54 fo22 fo6
v55 fo26 f46
v56 fo9 fo36
v57 fo62 fo6
v58 f37 fo16
v59 fo56 f21
v60 f44 f6
v61 f35 f6
v62 fo51 fo50
v63 fo60 fo4
v64 fo17 f23
v65 fo21 f32
co1 fo21 f32
co2 fo17 f19
co3 fo26 f46
co4 f40 fo33
co5 fo29 f30
co6 f4 fo21
co7 fo63 f45
co8 fo1 f38
co9 fo35 fo59
co10 fo17 f23
co11 fo51 fo50
co12 f40 fo33
co13 f26 fo41
co14 f50 fo70
co15 fo56 f21
co16 fo59 fo15
co17 f49 f42
co18 fo4 fo34
co19 fo4 fo34
co20 fo11 fo71
co21 fo53 f51
co22 fo34 fo72
co23 f33 fo13
co24 f4 fo21
co25 f32 fo35
co26 f49 f42
co27 f37 fo16
co28 fo34 fo72
co29 f32 fo35
co30 f4 fo21
co31 f10 fo1
co32 fo29 f30
co33 fo52 f30
co34 f9 f37
co35 fo70 fo51
co36 fo25 fo14
co37 fo68 f39
co38 f27 fo33
co39 f36 f20
co40 f42 f5
co41 f49 f42
co42 f11 f36
co43 fo21 f32
co44 f9 f37
co45 f43 fo44
co46 f5 fo55
co47 fo66 f15
co48 fo33 fo11
co49 f1 f22
co50 fo29 f30
co51 f38 f35
co52 f40 fo33
co53 fo62 fo6
co54 f33 fo13
co55 f26 fo41
co56 f48 f30
co57 f26 fo24
co58 fo17 f23
co59 fo50 f23
