// TIME (ms)
// rb1
True positive	96	92	121	121	121
False negative	0	0	5	0	0
False positive	104	108	0	0	0
True negative	0	0	74	79	79
accuracy 	0.48	0.46	0.975	1	1
Max time	0.04	0.1	0.34	0.51	0.5
Mean time	0.01	0.04	0.08	0.07	0.07
Avg time	0.02	0.05	0.1	0.1	0.1

// rb2
True positive	88	87	117	117	117
False negative	0	0	16	2	0
False positive	111	112	0	0	0
True negative	1	1	67	81	83
accuracy 	0.445	0.44	0.92	0.99	1
Max time	0.05	0.16	5.92	6.81	6.86
Mean time	0.02	0.06	0.27	0.32	0.32
Avg time	0.02	0.06	0.6	0.71	0.72

// rb3 3x
True positive	67	66	82	89	92
False negative	0	0	72	33	17
False positive	129	130	0	0	0
True negative	4	4	46	78	91
accuracy 	0.355	0.35	0.64	0.835	0.915
Max time	0.07	0.38	1146.37	1151.59	1183.74
Mean time	0.03	0.14	2.99	5.64	6.15
Avg time	0.03	0.15	20.17	23.64	49.56

// rb4 3x
True positive	64	63	106	109	110
False negative	0	0	53	26	11
False positive	131	132	0	0	0
True negative	5	5	41	65	79
accuracy 	0.345	0.34	0.735	0.87	0.945
Max time	0.24	1.46	1189.37	1170.89	3177.22
Mean time	0.07	0.36	26.79	43.36	54.8
Avg time	0.08	0.43	65.82	85.88	181.34

// lrb1
True positive	2	2	2	3	3
False negative	0	0	3	0	0
False positive	3	3	0	0	0
True negative	0	0	0	2	2
accuracy 	0.4	0.4	0.4	1	1
Max time	0.06	0.22	1.22	25.96	10.42
Mean time	0.04	0.22	1.06	5.77	5.69
Avg time	0.05	0.22	1.02	9.21	6.08


// lrb2
True positive	3	3	2	3	3
False negative	0	0	3	0	0
False positive	2	2	0	0	0
True negative	0	0	0	2	2
accuracy 	0.6	0.6	0.4	1	1
Max time	0.03	0.15	0.34	1.32	1.29
Mean time	0.03	0.15	0.31	1.28	1.27
Avg time	0.03	0.13	0.29	0.91	0.89


// lrb3
True positive	2	2	0	2	2
False negative	0	0	5	3	0
False positive	3	3	0	0	0
True negative	0	0	0	0	3
accuracy 	0.4	0.4	0	0.4	1
Max time	0.05	0.23	1.58	9.09	42.96
Mean time	0.04	0.21	1.3	7.26	8.36
Avg time	0.04	0.18	1.33	7.32	16.69


// lrb4
True positive	4	2	2	4	4
False negative	0	0	3	0	0
False positive	1	3	0	0	0
True negative	0	0	0	1	1
accuracy 	0.8	0.4	0.4	1	1
Max time	0.1	0.58	9.67	39.53	42.28
Mean time	0.08	0.46	8.45	16.84	16.96
Avg time	0.07	0.43	8.38	19.3	19.88


// lrb5
True positive	4	3	5	6	6
False negative	0	0	5	2	0
False positive	6	7	0	0	0
True negative	0	0	0	2	4
accuracy 	0.4	0.3	0.5	0.8	1
Max time	0.17	1.21	12.51	66.63	256.17
Mean time	0.11	0.7	10.6	45.26	90.43
Avg time	0.1	0.65	9.8	41.09	115.88


// rb3 1x
True positive	85	86	104	109	109
False negative	0	0	48	8	1
False positive	111	110	0	0	0
True negative	4	4	48	83	90
accuracy 	0.445	0.45	0.76	0.96	0.995
Max time	0.07	0.39	8.82	20.64	236.3
Mean time	0.03	0.14	1.47	2.28	2.26
Avg time	0.03	0.15	1.87	3.99	9.49


// rb4 1x
True positive	73	71	116	117	119
False negative	0	0	37	7	1
False positive	122	124	0	0	0
True negative	5	5	47	76	80
accuracy 	0.39	0.38	0.815	0.965	0.995
Max time	0.21	1.44	160.66	222.02	1478.31
Mean time	0.07	0.35	12.22	21.02	22.81
Avg time	0.08	0.43	22.97	33.56	50.67

