v1 fo82 fo12
v2 f5 f13
v3 fo27 f20
v4 fo71 f3
v5 fo42 f14
co1 fo3 f12
co2 f17 f6
co3 fo7 f13
co4 fo31 fo75
co5 fo70 f1
co6 fo29 f19
co7 fo36 fo65
co8 fo15 f10
co9 fo36 fo65
co10 f22 f14
co11 fo64 f20
co12 fo35 fo81
co13 fo64 f20
co14 fo31 fo75
co15 f22 f14
co16 fo5 fo27
co17 fo41 f22
co18 fo83 f6
co19 fo16 fo17
co20 fo44 fo65
co21 fo2 fo23
co22 f13 f3
co23 fo79 f15
co24 fo69 fo3
co25 fo29 f19
co26 fo11 f14
co27 fo64 f20
co28 f1 fo54
co29 fo60 fo6
co30 fo3 f12
co31 fo65 f3
co32 fo10 fo13
co33 fo54 fo60
co34 fo12 fo68
co35 fo29 f19
co36 f12 fo58
co37 f19 fo73
co38 fo54 fo60
co39 fo77 fo1
co40 f3 f6
co41 fo81 f17
co42 fo64 f20
co43 fo72 f13
co44 fo44 fo65
co45 f3 f6
co46 fo30 f7
co47 f17 f6
co48 fo15 f10
co49 fo31 fo75
co50 fo16 fo17
co51 f8 fo37
co52 fo21 fo38
co53 fo10 fo13
co54 fo69 fo3
co55 fo63 f15
co56 fo28 f16
co57 fo17 f17
co58 fo17 f17
co59 fo47 fo72
co60 fo48 fo56
co61 f3 f6
co62 fo13 fo17
co63 f4 fo46
co64 fo81 f17
co65 f6 f8
co66 fo75 f13
co67 fo52 fo34
co68 fo20 f8
co69 fo47 fo72
co70 f5 f13
co71 fo46 fo15
co72 fo21 fo38
co73 fo42 f14
co74 fo12 fo68
co75 fo21 fo38
co76 fo36 fo65
co77 fo44 fo65
co78 fo43 f20
co79 f3 f6
co80 fo25 f5
co81 fo3 f12
co82 fo29 f19
