v1 fo33 f5
v2 f18 fo57
v3 fo12 f8
v4 fo38 f8
v5 f6 fo5
co1 fo49 fo33
co2 fo17 fo76
co3 fo42 f3
co4 fo22 fo68
co5 fo58 f15
co6 fo32 f14
co7 fo42 f3
co8 fo4 f16
co9 fo68 fo54
co10 fo81 f20
co11 fo44 f17
co12 f6 fo5
co13 fo35 fo2
co14 f3 f16
co15 f9 fo32
co16 fo65 fo55
co17 fo6 fo27
co18 f4 fo72
co19 fo11 f16
co20 fo77 fo81
co21 f5 fo42
co22 fo3 f21
co23 fo22 fo68
co24 f13 fo29
co25 fo56 f10
co26 fo79 fo48
co27 fo54 f11
co28 fo51 fo29
co29 fo62 fo67
co30 fo53 fo31
co31 f2 fo1
co32 f18 fo57
co33 fo30 fo51
co34 fo56 f10
co35 f17 fo4
co36 fo54 f11
co37 fo45 f1
co38 fo20 f8
co39 f14 fo34
co40 fo27 fo8
co41 fo43 fo64
co42 fo7 f20
co43 fo11 f16
co44 fo52 fo42
co45 fo42 f3
co46 f18 fo57
co47 fo6 fo27
co48 fo72 fo74
co49 f10 fo40
co50 f19 f17
co51 fo62 fo67
co52 fo69 fo2
co53 fo8 f10
co54 f5 fo42
co55 f22 f21
co56 fo59 f4
co57 fo57 f20
co58 fo53 fo31
co59 f15 fo17
co60 fo7 f20
co61 f2 fo1
co62 fo59 f4
co63 f19 f17
co64 fo48 fo32
co65 f21 f6
co66 f19 f17
co67 fo77 fo81
co68 fo22 fo68
co69 fo9 fo3
co70 fo64 f3
co71 fo39 f22
co72 fo21 f16
co73 fo15 fo59
co74 fo19 f15
co75 fo77 fo81
co76 fo68 fo54
co77 fo74 f3
co78 f14 fo34
co79 f12 fo9
co80 fo80 f21
co81 f6 fo5
co82 fo27 fo8
