v1 fo95 fo39
v2 fo101 f20
v3 fo81 fo4
v4 fo24 f6
v5 fo88 fo3
v6 fo24 f6
v7 fo57 fo94
v8 fo8 f11
v9 fo43 f9
v10 fo13 fo76
v11 fo18 fo44
v12 fo4 fo103
v13 f14 f8
v14 fo32 fo70
v15 fo94 fo23
v16 f17 fo30
v17 fo27 f10
v18 fo9 f17
v19 fo10 f11
v20 fo58 f1
v21 fo35 f12
v22 f17 fo55
v23 fo49 fo12
v24 f13 f2
v25 fo27 f10
v26 fo39 fo25
v27 f15 f3
v28 fo45 f4
v29 fo98 fo78
v30 fo18 fo44
v31 f21 fo89
v32 fo38 f11
v33 fo76 f18
v34 f16 f14
v35 fo90 fo3
v36 fo48 fo35
v37 f1 fo19
v38 fo32 f15
v39 f12 f20
v40 fo60 f7
v41 fo79 f17
v42 fo72 fo54
v43 f16 f8
v44 fo13 f9
v45 fo14 f2
v46 f8 f5
v47 f20 fo74
v48 fo48 f10
v49 fo21 f8
v50 fo77 f10
co1 fo72 fo38
co2 f2 fo103
co3 f18 f21
co4 f12 f4
co5 fo42 fo9
co6 f9 f7
co7 fo3 f16
co8 f12 f13
co9 f12 f4
co10 f5 fo91
co11 fo93 f19
co12 fo92 f19
co13 fo26 fo70
co14 fo72 fo38
co15 fo93 fo92
co16 fo71 fo97
co17 f10 fo90
co18 f15 f3
co19 fo28 f2
co20 fo13 f9
co21 fo19 fo81
co22 fo104 f15
co23 fo59 fo17
co24 fo69 fo96
co25 f1 fo19
