v1 fo30 fo19
v2 fo83 f16
v3 fo72 fo71
v4 f13 f1
v5 fo17 fo33
v6 fo74 fo75
v7 fo98 f9
v8 fo7 f12
v9 fo15 fo55
v10 fo85 f10
v11 fo20 f8
v12 fo72 fo71
v13 fo85 fo65
v14 fo25 f6
v15 f10 f5
v16 fo58 fo82
v17 fo11 fo70
v18 fo71 f6
v19 f8 fo4
v20 fo33 fo16
v21 f20 f12
v22 fo47 f13
v23 fo59 f21
v24 fo15 fo69
v25 f11 fo43
v26 f4 fo77
v27 fo82 fo10
v28 fo54 f17
v29 fo32 fo105
v30 fo50 fo98
v31 fo20 f8
v32 f4 fo77
v33 fo90 f3
v34 fo75 fo43
v35 fo103 f13
v36 fo23 f13
v37 f2 fo38
v38 fo77 fo63
v39 fo104 fo73
v40 fo64 fo83
v41 fo16 f9
v42 fo48 f17
v43 fo48 f17
v44 f7 fo62
v45 fo10 fo39
v46 fo105 fo50
v47 f9 f1
v48 fo18 f11
v49 fo44 fo95
v50 fo63 fo46
co1 fo70 fo56
co2 fo96 f17
co3 fo53 f16
co4 fo31 f7
co5 fo58 fo82
co6 fo19 fo12
co7 fo40 f3
co8 fo57 f12
co9 fo89 f11
co10 fo92 fo7
co11 fo85 f10
co12 f4 fo77
co13 fo74 fo15
co14 fo62 fo58
co15 fo66 f17
co16 fo87 f16
co17 fo82 fo10
co18 fo80 fo13
co19 f17 f3
co20 fo31 f7
co21 f4 fo77
co22 f9 fo44
co23 fo101 f10
co24 fo13 fo22
co25 fo39 f7
