v1 fo10 fo5
v2 fo3 f41
v3 f60 f38
v4 fo30 f39
v5 fo12 fo41
v6 f2 fo28
v7 f4 fo22
v8 fo24 fo51
v9 f63 fo26
v10 fo4 fo9
v11 fo20 f8
co1 fo4 fo9
co2 f46 fo46
co3 fo32 f9
co4 fo32 f9
co5 f21 fo7
co6 f29 f61
co7 f17 f8
co8 f22 f55
co9 fo61 fo25
co10 f66 f29
co11 f33 f57
co12 fo21 fo18
co13 f3 f15
co14 fo5 fo48
co15 fo37 f32
co16 fo30 f39
co17 fo13 f23
co18 f2 fo28
co19 f56 f39
co20 fo32 f9
co21 f11 fo8
co22 fo44 f16
co23 fo20 fo26
co24 fo7 f22
co25 f43 f16
co26 f64 f1
co27 f13 fo32
co28 fo43 f64
co29 f8 fo6
co30 f2 fo28
co31 fo54 fo62
co32 fo50 fo48
co33 fo62 fo23
co34 f30 f33
co35 f23 f14
co36 f67 fo19
co37 fo40 f40
co38 fo4 fo9
co39 f44 fo9
co40 fo3 f41
co41 f33 f27
co42 fo2 fo33
co43 fo38 fo17
co44 f15 fo14
co45 fo12 fo41
co46 fo22 f54
co47 f30 f33
co48 fo22 f23
co49 f56 f39
co50 fo63 f62
