v1 f3 fo31
v2 fo13 f35
v3 f13 fo15
v4 f11 f2
v5 fo69 f3
v6 f16 f39
v7 fo79 fo39
v8 fo2 fo26
v9 fo43 f12
v10 fo79 fo39
v11 fo42 fo74
v12 fo53 fo11
v13 f19 fo58
v14 fo70 f35
v15 fo32 fo35
v16 f26 f14
v17 fo30 fo32
v18 f48 f17
v19 fo10 fo21
v20 f16 f40
v21 fo53 fo11
v22 f29 fo78
v23 f29 fo78
v24 fo33 f44
v25 f37 f30
v26 f35 fo71
v27 fo66 fo9
v28 fo32 fo35
v29 fo1 fo66
v30 fo14 f13
v31 f4 f48
v32 fo46 f42
v33 fo80 f10
v34 f47 f28
v35 fo16 fo10
v36 f2 f15
v37 f48 f17
v38 f6 fo15
v39 f12 f2
v40 f7 fo69
v41 fo50 f11
v42 fo24 f17
v43 f8 f26
v44 fo23 f3
v45 fo27 f20
v46 f16 f40
v47 f16 f40
v48 fo23 f3
v49 fo15 fo12
v50 fo25 f28
v51 f6 f4
v52 fo76 fo75
v53 fo52 fo19
v54 fo36 f5
v55 f38 f48
v56 fo60 fo44
v57 fo47 f4
v58 fo12 f12
v59 fo31 f22
v60 f9 fo28
v61 fo74 f9
v62 fo38 f45
v63 f20 fo70
v64 fo39 fo35
v65 f19 fo58
v66 f21 fo66
v67 f25 f35
v68 fo6 fo52
v69 fo5 f31
v70 f11 f2
co1 f29 fo78
co2 fo72 f20
co3 fo29 f5
co4 fo5 f31
co5 fo25 f28
co6 f27 f38
co7 f45 fo46
co8 fo71 fo28
co9 f45 fo46
co10 fo42 fo74
co11 fo50 f11
co12 fo3 f25
co13 f16 f40
co14 fo21 f8
co15 fo25 f28
co16 fo60 fo44
co17 fo28 f29
co18 f41 fo10
co19 fo62 fo43
co20 fo52 fo19
co21 f6 fo46
co22 f26 f14
co23 fo44 fo49
co24 f49 f25
co25 f4 f48
co26 f6 f4
co27 f23 f40
co28 f48 f17
co29 f38 f48
co30 f2 fo27
co31 f21 fo66
co32 fo69 f3
co33 fo27 f20
co34 fo1 fo66
co35 f39 fo49
co36 f21 f20
co37 fo22 f9
co38 fo33 f44
co39 f21 fo66
co40 fo52 fo19
co41 fo38 f45
co42 fo70 f35
co43 f15 fo25
co44 f42 fo40
co45 f24 fo28
co46 fo63 fo34
co47 fo36 f5
co48 f12 f2
co49 f47 f28
co50 f25 f35
co51 f39 fo49
co52 fo22 f9
co53 fo5 f40
co54 f4 f48
co55 f35 fo71
co56 f42 fo40
co57 fo10 fo21
co58 f44 fo4
co59 fo6 fo52
co60 fo8 fo9
co61 fo41 f2
co62 fo5 f31
co63 f41 fo10
co64 fo22 f9
co65 f38 f48
co66 fo41 f2
co67 fo71 fo28
co68 f2 f15
co69 fo21 f8
