v1 f3 fo2
v2 fo15 f7
v3 fo14 f6
v4 f4 fo12
v5 fo13 f4
co1 fo10 f1
co2 fo4 fo6
co3 fo5 f5
co4 f1 fo14
co5 f7 fo11
co6 f7 f3
co7 f2 f4
co8 fo17 f7
co9 fo7 f6
co10 fo4 fo6
co11 fo8 fo1
co12 fo8 fo1
co13 f7 f4
co14 fo8 f4
co15 fo5 f5
co16 fo9 fo14
co17 fo5 f3
co18 f7 f3
co19 fo14 f4
co20 f6 f2
co21 f6 f2
co22 fo1 f6
co23 fo4 fo6
co24 fo7 f6
co25 f2 fo9
co26 f1 f3
co27 fo8 fo1
co28 f2 fo9
co29 fo2 f7
co30 fo11 f5
co31 fo6 fo14
co32 f1 fo14
co33 fo13 fo7
co34 f2 fo16
co35 fo8 fo4
co36 f7 fo11
co37 fo12 f7
co38 fo2 f7
co39 f4 fo12
co40 fo16 f3
co41 fo16 f3
co42 fo10 fo7
