// rb1
true positive	96	96	94	121	121	121
false negative	0	0	0	0	0	0
false positive	104	104	106	0	0	0
true negative	0	0	0	79	79	79
accuracy	0.48	0.48	0.47	1	1	1
max time	1.979E-05	2.05E-05	5.198E-05	0.00040174	0.00038886	0.00038719
mean time	9.06E-06	1.252E-05	2.17E-05	9.418E-05	8.678E-05	8.619E-05
avg time	9.22E-06	1.274E-05	2.384E-05	0.00012124	0.00011404	0.00011255

// rb2
true positive	87	87	84	110	113	113
false negative	0	0	0	7	0	0
false positive	112	112	115	0	0	0
true negative	1	1	1	83	87	87
accuracy	0.44	0.44	0.425	0.965	1	1
max time	1.884E-05	3.123E-05	8.44E-05	0.00292993	0.00293159	0.00291562
mean time	1.24E-05	1.919E-05	3.076E-05	0.00032389	0.00031304	0.00031054
avg time	1.22E-05	1.918E-05	3.419E-05	0.00053573	0.00055326	0.00055047

// rb3
true positive	84	84	80	70	90	106
false negative	0	0	0	62	29	4
false positive	112	112	116	0	0	0
true negative	4	4	4	68	81	90
accuracy	0.44	0.44	0.42	0.69	0.855	0.98
max time	4.601E-05	7.105E-05	0.00018907	0.00851846	0.03516674	0.18661213
mean time	2.694E-05	4.339E-05	7.808E-05	0.00217319	0.00262916	0.00273371
avg time	2.612E-05	4.246E-05	7.914E-05	0.00250998	0.00475264	0.0085243

// rb4
true positive	73	73	75	98	107	112
false negative	0	0	0	29	16	6
false positive	122	122	120	0	0	0
true negative	5	5	5	73	77	82
accuracy	0.39	0.39	0.40	0.855	0.92	0.97
max time	0.00020719	0.00033522	0.00075722	0.16195059	0.16357613	0.32471299
mean time	6.938E-05	0.00013459	0.00019717	0.01152337	0.01359928	0.01443243
avg time	6.815E-05	0.00012827	0.00022884	0.02402697	0.02800563	0.03496873

// lrb1
true positive	2	2	2	2	3	3
false negative	0	0	0	1	0	0
false positive	3	3	3	0	0	0
true negative	0	0	0	2	2	2
accuracy   	0.40	0.40	0.40	0.80	1	1
max time	2.623E-05	4.148E-05	0.00011492	0.00161409	0.00306582	0.00302815
mean time	2.337E-05	3.648E-05	0.00010681	0.00096059	0.00085354	0.00082779
avg time	2.418E-05	3.748E-05	0.00010815	0.00079703	0.00105624	0.00104094

// lrb2
true positive	3	3	3	1	3	3
false negative	0	0	0	3	0	0
false positive	2	2	2	0	0	0
true negative	0	0	0	1	2	2
accuracy	0.6	0.6	0.6	0.4	1	1
max time	1.764E-05	2.313E-05	7.272E-05	0.00073457	0.0013473	0.00132346
mean time	1.717E-05	2.265E-05	7.105E-05	0.00070333	0.00131583	0.00130105
avg time	1.717E-05	2.27E-05	6.518E-05	0.00057197	0.0009326	0.00091844

// lrb3
true positive	2	2	2	0	2	2
false negative	0	0	0	5	0	0
false positive	3	3	3	0	0	0
true negative	0	0	0	0	3	3
accuracy	0.4	0.4	0.4	0	1	1
max time	2.432E-05	3.433E-05	0.00011849	0.00216866	0.0243237	0.00663161
mean time	2.193E-05	3.242E-05	0.00011039	0.00159907	0.00311661	0.00309181
avg time	2.241E-05	3.285E-05	8.907E-05	0.00160317	0.00718679	0.00368814

// lrb4
true positive	4	4	3	3	4	4
false negative	0	0	0	1	0	0
false positive	1	1	2	0	0	0
true negative	0	0	0	1	1	1
accuracy	0.80	0.80	0.60	0.80	1	1
max time	5.102E-05	8.297E-05	0.00028229	0.00997496	0.01618624	0.01623559
mean time	4.625E-05	7.725E-05	0.00022721	0.0061748	0.00488186	0.00393581
avg time	4.749E-05	7.911E-05	0.00021191	0.00572023	0.00669942	0.00651445

// lrb5
True positive	6	6	5	6	6	6
False negative	0	0	0	2	0	0
False positive	2	2	3	0	0	0
True negative	0	0	0	0	2	2
accuracy 	0.75	0.75	0.625	0.75	1	1
Max time	7.176E-05	0.00010824	0.00036478	0.01746941	0.05848885	0.09545493
Mean time	6.044E-05	0.00010109	0.00029814	0.01120985	0.01638067	0.01608253
Avg time	6.142E-05	0.00010002	0.00026175	0.01218966	0.02059323	0.02520242


