v1 f25 f4
v2 f57 fo15
v3 f33 f47
v4 fo7 fo23
v5 fo15 f61
v6 fo2 fo1
v7 f13 f28
v8 f57 fo15
v9 f22 fo17
v10 f20 fo15
v11 fo14 fo19
v12 fo1 f1
v13 fo13 fo21
v14 fo2 fo1
v15 fo2 fo1
v16 f37 fo15
v17 fo17 f21
v18 f33 f47
v19 f34 fo13
v20 f41 f56
v21 f57 fo15
v22 f61 f33
v23 f56 fo12
v24 f55 fo5
v25 f38 f37
v26 fo18 fo7
v27 fo2 fo1
v28 fo24 f26
v29 f21 f50
v30 f44 fo13
v31 fo13 fo21
v32 f37 fo15
v33 f52 f6
v34 f38 f37
v35 fo4 f55
v36 fo2 fo1
v37 f16 fo24
v38 fo9 fo1
v39 f1 f59
v40 f52 f6
v41 f54 f57
v42 f26 f46
v43 f7 f34
v44 f17 fo16
v45 fo13 fo21
v46 f37 fo15
v47 f41 fo19
v48 f5 fo12
v49 f13 f28
v50 f57 fo15
v51 fo18 fo7
v52 f45 f51
v53 f42 fo17
v54 fo24 f26
v55 f16 fo24
v56 f33 f47
v57 f41 fo19
v58 fo8 f17
v59 f28 f40
v60 fo23 f35
v61 f5 fo12
v62 f20 fo15
v63 f16 fo24
v64 fo5 fo1
co1 f53 f16
co2 f23 fo22
co3 f44 fo13
co4 fo3 fo8
co5 f60 f56
co6 f43 f31
co7 f36 fo4
co8 f15 f19
co9 f31 f49
co10 fo2 fo1
co11 f59 f51
co12 f47 f30
co13 f35 fo10
co14 f34 fo13
co15 f50 f51
co16 f47 f30
co17 fo2 fo1
co18 f12 fo5
co19 f56 f24
co20 fo22 f25
co21 f2 f34
co22 fo2 fo24
co23 fo1 f1
co24 f21 f50
co25 f7 f34
co26 f59 f51
co27 f5 fo12
co28 fo23 f35
co29 f57 fo15
co30 fo26 f5
co31 f54 f57
co32 f30 fo12
co33 f1 f59
co34 fo15 f61
co35 fo3 fo8
co36 f56 fo12
co37 fo24 f26
co38 fo25 fo4
co39 fo25 fo4
co40 f33 f47
co41 f30 fo12
co42 f29 fo14
co43 fo8 f17
co44 f20 fo15
co45 f45 f51
co46 f53 f16
co47 f56 fo12
co48 fo16 fo13
co49 f33 f47
co50 f20 fo15
co51 fo11 f29
co52 f19 fo17
co53 fo6 fo12
